year,leaid,lea_name,state_name,city_location,agency_type,enrollment,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,900001,UNIFIED SCHOOL DISTRICT #3,Connecticut,HARTFORD,State-operated agency,,,,,
2015,900002,Connecticut Technical High Sc,Connecticut,MIDDLETOWN,State-operated agency,10710,2471,97,97,97
2015,900003,UNIFIED SCHOOL DISTRICT #1,Connecticut,WETHERSFIELD,State-operated agency,390,341,2,2,2
2015,900004,UNIFIED SCHOOL DISTRICT #2,Connecticut,HARTFORD,State-operated agency,151,49,29,20,24
2015,900005,REGIONAL SCHOOL DISTRICT 19,Connecticut,STORRS,Regular local school district,1206,288,92,92,92
2015,900007,JUMOKE ACADEMY DISTRICT,Connecticut,HARTFORD,Charter agency,734,7,100,50,75
2015,900009,ODYSSEY COMMUNITY SCHOOL DIST,Connecticut,MANCHESTER,Charter agency,328,,,,
2015,900010,INTEGRATED DAY CHARTER SCHOOL,Connecticut,NORWICH,Charter agency,331,,,,
2015,900011,INTRDIST SCH FOR ARTS AND COM,Connecticut,NEW LONDON,Charter agency,271,,,,
2015,900014,COMMON GROUND HIGH SCHOOL DIS,Connecticut,NEW HAVEN,Charter agency,186,34,100,90,95
2015,900015,THE BRIDGE ACADEMY DISTRICT,Connecticut,Bridgeport,Charter agency,279,34,79,70,74
2015,900016,SIDE BY SIDE COMMUNITY SCHOOL,Connecticut,SOUTH NORWALK,Charter agency,236,,,,
2015,900018,EXPLORATIONS DISTRICT,Connecticut,WINSTED,Charter agency,92,27,79,60,69
2015,900023,TRAILBLAZERS ACADEMY DISTRICT,Connecticut,STAMFORD,Charter agency,125,,,,
2015,900024,AMISTAD ACADEMY DISTRICT,Connecticut,NEW HAVEN,Charter agency,1036,30,100,80,90
2015,900025,UNIVERSITY OF CONNECTICUT,Connecticut,Storrs,State-operated agency,,,,,
2015,900026,DEPARTMENT OF SOCIAL SERVICES,Connecticut,HARTFORD,State-operated agency,,,,,
2015,900027,DEPARTMENT OF MENTAL HEALTH A,Connecticut,Hartford,State-operated agency,3,5,Suppressed data,Suppressed data,Suppressed data
2015,900028,NEW BEGINNINGS INC.,Connecticut,Bridgeport,Charter agency,499,,,,
2015,900030,ANDOVER SCHOOL DISTRICT,Connecticut,ANDOVER,Regular local school district,250,,,,
2015,900031,Stamford Academy,Connecticut,Stamford,Charter agency,150,53,29,20,24
2015,900033,Park City Prep Charter School,Connecticut,Bridgeport,Charter agency,360,,,,
2015,900060,ANSONIA SCHOOL DISTRICT,Connecticut,ANSONIA,Regular local school district,2361,138,84,80,82
2015,900070,AREA COOPERATIVE EDUCATIONAL,Connecticut,NORTH HAVEN,Regional education service agency,1948,,,,
2015,900090,ASHFORD SCHOOL DISTRICT,Connecticut,Ashford,Regular local school district,397,,,,
2015,900120,AVON SCHOOL DISTRICT,Connecticut,AVON,Regular local school district,3274,240,97,97,97
2015,900150,BARKHAMSTED SCHOOL DISTRICT,Connecticut,BARKHAMSTED,Regular local school district,286,,,,
2015,900207,Highville Mustard Seed Charte,Connecticut,Hamden,Charter agency,462,,,,
2015,900208,Bridgeport Achievement First,Connecticut,Bridgeport,Charter agency,1016,30,100,80,90
2015,900210,BERLIN SCHOOL DISTRICT,Connecticut,BERLIN,Regular local school district,2863,249,95,95,95
2015,900212,Achievement First Hartford Ac,Connecticut,Hartford,Charter agency,1063,35,89,80,84
2015,900213,Charter School for Young Chil,Connecticut,Hartford,Charter agency,,,,,
2015,900214,Elm City College Preparatory,Connecticut,New Haven,Charter agency,703,17,100,80,90
2015,900215,Brass City Charter School Dis,Connecticut,Waterbury,Charter agency,186,,,,
2015,900216,Elm City Montessori School Di,Connecticut,New Haven,Charter agency,113,,,,
2015,900217,Booker T Washington Academy D,Connecticut,New Haven,Charter agency,180,,,,
2015,900218,Path Academy District,Connecticut,Willimantic,Charter agency,143,38,10,0,5
2015,900219,Great Oaks Charter School Bri,Connecticut,Bridgeport,Charter agency,226,,,,
2015,900220,Stamford Charter School for E,Connecticut,Stamford,Charter agency,164,,,,
2015,900221,Capital Preparatory Harbor Sc,Connecticut,Bridgeport,Charter agency,249,8,49,0,24
2015,900240,BETHANY SCHOOL DISTRICT,Connecticut,BETHANY,Regular local school district,383,,,,
2015,900270,BETHEL SCHOOL DISTRICT,Connecticut,Bethel,Regular local school district,2962,251,94,94,94
2015,900330,BLOOMFIELD SCHOOL DISTRICT,Connecticut,BLOOMFIELD,Regular local school district,2068,156,94,90,92
2015,900360,BOLTON SCHOOL DISTRICT,Connecticut,BOLTON,Regular local school district,814,85,94,90,92
2015,900390,BOZRAH SCHOOL DISTRICT,Connecticut,Bozrah,Regular local school district,201,,,,
2015,900420,BRANFORD SCHOOL DISTRICT,Connecticut,BRANFORD,Regular local school district,3045,256,94,94,94
2015,900450,BRIDGEPORT SCHOOL DISTRICT,Connecticut,Bridgeport,Regular local school district,21015,1387,66,66,66
2015,900510,BRISTOL SCHOOL DISTRICT,Connecticut,Bristol,Regular local school district,8086,659,83,83,83
2015,900540,BROOKFIELD SCHOOL DISTRICT,Connecticut,BROOKFIELD,Regular local school district,2680,215,97,97,97
2015,900570,BROOKLYN SCHOOL DISTRICT,Connecticut,BROOKLYN,Regular local school district,898,,,,
2015,900630,CANAAN SCHOOL DISTRICT,Connecticut,FALLS VILLAGE,Regular local school district,76,,,,
2015,900660,CANTERBURY SCHOOL DISTRICT,Connecticut,Canterbury,Regular local school district,491,,,,
