year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,2500001,Quabbin,Massachusetts,753,Barre,"Rural, distant",Regional education service agency,2428,8,16075,174,0.059184,40346000,1615000,20896000,17835000,0,37754000,34004000,19932000,13276000,1850000,2024000,415000,1537000,3655000,2698000,1097000,0,796000,796000,0,0,0,0,0,0,87000,531000,0,0,25000,0,0,25000,0,0,20665000,13378000,7600000,204,86,86,86
2015,2500002,Spencer-E Brookfield,Massachusetts,767,Spencer,"Suburb, large",Regional education service agency,1615,15,14228,251,0.11784,29438000,1107000,16389000,11942000,0,25667000,21199000,12460000,8083000,1871000,870000,284000,951000,1595000,1890000,622000,0,656000,651000,0,5000,0,0,0,0,5000,369000,0,0,699000,0,485000,2000,212000,0,12728000,8383000,5144000,112,74,70,72
2015,2500013,Southwick-Tolland-Granville Regional School District,Massachusetts,766,Southwick,"Rural, fringe",Regional education service agency,1637,25,11729,211,0.109383,32457000,1017000,16905000,14535000,0,29953000,22802000,13958000,8268000,1861000,1267000,446000,1089000,1568000,1830000,207000,0,576000,573000,0,3000,0,0,0,0,281000,317000,0,0,4168000,0,3806000,0,362000,0,16129000,10238000,4847000,164,94,90,92
2015,2500014,Chesterfield-Goshen,Massachusetts,632,Chesterfield,"Rural, distant",Regional education service agency,155,Missing/not reported,2322,8,0.05,2891000,60000,1046000,1785000,0,2595000,2499000,1568000,851000,165000,90000,62000,134000,226000,141000,33000,0,80000,80000,0,0,0,0,0,0,3000,43000,0,0,0,0,0,0,0,0,1633000,1147000,522000,,,,
2015,2500021,Academy Of the Pacific Rim Charter Public (District),Massachusetts,412,Hyde Park,"City, large",Charter agency,524,35,,,,10261000,546000,4000,9711000,Not applicable,8809000,8086000,4295000,3791000,586000,1077000,15000,194000,615000,661000,643000,0,0,0,0,0,0,0,0,0,61000,0,0,0,166000,0,141000,25000,0,0,4681000,2960000,1678000,56,100,90,95
2015,2500022,Benjamin Banneker Charter Public (District),Massachusetts,420,Cambridge,"City, midsize",Charter agency,349,15,,,,7196000,501000,6000,6689000,Not applicable,7270000,6766000,3359000,3407000,366000,1164000,8000,227000,382000,500000,760000,0,0,0,0,0,0,0,0,0,28000,0,0,0,504000,0,467000,37000,0,0,3838000,2399000,1303000,,,,
2015,2500024,Cape Cod Lighthouse Charter (District),Massachusetts,432,Harwich,"Suburb, midsize",Charter agency,240,3,,,,3642000,80000,0,3562000,Not applicable,3686000,3537000,2437000,1100000,288000,199000,0,136000,140000,0,337000,0,0,0,0,0,0,0,0,0,18000,0,0,0,4000,0,0,0,0,4000,2223000,1691000,905000,,,,
2015,2500025,Innovation Academy Charter (District),Massachusetts,435,Tyngsborough,"Suburb, large",Charter agency,792,22,,,,10551000,317000,2000,10232000,Not applicable,10446000,9908000,5975000,3933000,862000,1189000,48000,334000,813000,78000,609000,0,0,0,0,0,0,0,0,0,30000,0,0,0,86000,0,10000,24000,0,52000,6016000,4114000,2023000,80,89,85,87
2015,2500026,City on a Hill Charter Public School Circuit Street (Distric,Massachusetts,437,Roxbury,"City, large",Charter agency,284,28,,,,8074000,465000,4000,7605000,Not applicable,7104000,6452000,2657000,3795000,283000,1333000,4000,520000,586000,173000,896000,0,0,0,0,0,0,0,0,0,10000,0,0,0,652000,0,590000,62000,0,0,4339000,1925000,1178000,59,69,60,64
2015,2500027,Community Day Charter Public School - Prospect (District),Massachusetts,440,Lawrence,"Suburb, large",Charter agency,400,145,,,,6635000,567000,20000,6048000,Not applicable,5943000,5776000,3676000,2100000,379000,703000,0,48000,341000,193000,436000,0,0,0,0,0,4000,4000,0,0,46000,0,0,0,163000,0,161000,2000,0,0,3310000,2582000,1226000,,,,
2015,2500028,Sabis International Charter (District),Massachusetts,441,Springfield,"City, midsize",Charter agency,1573,50,,,,22709000,1173000,0,21536000,Not applicable,22165000,19424000,9770000,9654000,1350000,2711000,135000,380000,1477000,2062000,1539000,0,0,0,0,0,0,0,0,0,762000,0,0,0,1061000,0,941000,86000,0,34000,9094000,6060000,3261000,110,100,95,97
2015,2500029,Neighborhood House Charter (District),Massachusetts,444,Dorchester,"City, large",Charter agency,395,26,,,,9750000,755000,39000,8956000,Not applicable,7978000,7612000,3946000,3666000,647000,1046000,14000,317000,630000,264000,748000,0,0,0,0,0,44000,44000,0,0,19000,0,0,0,322000,0,294000,0,0,28000,4778000,2882000,1524000,,,,
2015,2500030,Benjamin Franklin Classical Charter Public (District),Massachusetts,447,Franklin,"Suburb, large",Charter agency,446,3,,,,5372000,83000,52000,5237000,Not applicable,5648000,5374000,3449000,1925000,273000,408000,15000,167000,274000,208000,580000,0,0,0,0,0,0,0,0,0,61000,0,0,0,274000,0,245000,1000,0,28000,3391000,2366000,1182000,,,,
2015,2500031,Hilltown Cooperative Charter Public (District),Massachusetts,450,Easthampton,"Suburb, large",Charter agency,211,Missing/not reported,,,,2936000,97000,0,2839000,Not applicable,3063000,2753000,1960000,793000,194000,308000,4000,82000,146000,0,59000,0,0,0,0,0,0,0,0,0,3000,0,0,0,310000,0,304000,2000,0,4000,1779000,1379000,609000,1,Suppressed data,Suppressed data,Suppressed data
2015,2500032,Lawrence Family Development Charter (District),Massachusetts,454,Lawrence,"Suburb, large",Charter agency,700,123,,,,10660000,1090000,9000,9561000,Not applicable,9570000,8455000,5036000,3419000,484000,829000,19000,339000,997000,209000,542000,0,0,0,0,0,0,0,0,0,75000,0,0,0,1115000,0,1075000,40000,0,0,5157000,3727000,1242000,,,,
2015,2500033,Lowell Middlesex Academy Charter (District),Massachusetts,458,Lowell,"Suburb, large",Charter agency,95,3,,,,1885000,206000,0,1679000,Not applicable,1795000,1795000,1173000,622000,85000,307000,4000,38000,96000,0,92000,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,1074000,820000,316000,42,19,11,15
2015,2500034,Marblehead Community Charter Public (District),Massachusetts,464,Marblehead,"Suburb, large",Charter agency,231,3,,,,3302000,74000,1000,3227000,Not applicable,3357000,3207000,2127000,1080000,128000,204000,5000,165000,247000,0,331000,0,0,0,0,0,0,0,0,0,14000,0,0,0,8000,0,0,8000,0,0,1948000,1362000,825000,,,,
2015,2500035,Martha's Vineyard Charter (District),Massachusetts,466,West Tisbury,"Rural, fringe",Charter agency,178,12,,,,4580000,122000,90000,4368000,Not applicable,4296000,4182000,2565000,1617000,319000,529000,6000,53000,228000,121000,361000,0,0,0,0,0,0,0,0,0,4000,0,0,0,114000,0,108000,6000,0,0,2741000,1875000,726000,7,100,50,75
2015,2500036,Ma Academy for Math and Science,Massachusetts,468,Worcester,"City, midsize",Regional education service agency,98,Missing/not reported,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,47,100,90,95
2015,2500038,Francis W. Parker Charter Essential (District),Massachusetts,478,Devens,"Suburb, large",Charter agency,399,Missing/not reported,,,,6089000,90000,2000,5997000,Not applicable,6108000,5726000,3319000,2407000,361000,1193000,3000,46000,342000,0,462000,0,0,0,0,0,8000,8000,0,0,7000,0,0,0,209000,0,189000,20000,0,0,3479000,2168000,1315000,54,89,80,84
2015,2500039,Boston Renaissance Charter Public (District),Massachusetts,481,Hyde Park,"City, large",Charter agency,950,55,,,,20100000,1697000,13000,18390000,Not applicable,17608000,16784000,10184000,6600000,478000,1953000,118000,500000,1014000,1324000,1213000,0,0,0,0,0,0,0,0,0,165000,0,0,0,66000,0,0,66000,0,0,9619000,7062000,3819000,,,,
2015,2500040,South Shore Charter Public (District),Massachusetts,488,Norwell,"Suburb, large",Charter agency,597,60,,,,8746000,282000,20000,8444000,Not applicable,8977000,8404000,5795000,2609000,442000,740000,19000,177000,557000,0,674000,0,0,0,0,0,0,0,0,0,83000,0,0,0,572000,0,539000,12000,0,21000,5403000,4043000,1884000,40,100,90,95
2015,2500041,Atlantis Charter (District),Massachusetts,491,Fall River,"Suburb, large",Charter agency,1028,47,,,,12997000,1001000,5000,11991000,Not applicable,13161000,12423000,7664000,4759000,1080000,1316000,24000,480000,930000,0,929000,0,0,0,0,0,0,0,0,0,8000,0,0,0,738000,0,654000,25000,0,59000,7633000,5291000,2882000,,,,
2015,2500043,Up-Island Regional,Massachusetts,774,Vineyard Haven,"Rural, fringe",Regional education service agency,378,11,4098,30,0.077519,13412000,129000,2145000,11138000,0,12281000,10945000,7015000,3780000,632000,403000,62000,714000,1533000,280000,156000,0,150000,150000,0,0,0,0,0,0,53000,68000,0,0,8000,0,0,8000,0,0,6696000,4733000,2895000,,,,
2015,2500044,Pioneer Valley Performing Arts Charter Public (District),Massachusetts,479,South Hadley,"Suburb, large",Charter agency,403,Missing/not reported,,,,6271000,149000,3000,6119000,Not applicable,6049000,5714000,3255000,2459000,520000,509000,18000,236000,427000,113000,636000,0,0,0,0,0,0,0,0,0,4000,0,0,0,335000,0,301000,12000,0,22000,3367000,2160000,1387000,68,94,90,92
2015,2500045,Seven Hills Charter Public (District),Massachusetts,486,Worcester,"City, midsize",Charter agency,690,160,,,,11557000,1266000,775000,9516000,Not applicable,10189000,9368000,5139000,4229000,926000,988000,2000,132000,627000,725000,829000,0,0,0,0,0,0,0,0,0,142000,0,0,0,821000,0,814000,0,0,7000,5598000,3694000,1838000,,,,
2015,2500046,Prospect Hill Academy Charter (District),Massachusetts,487,Cambridge,"City, midsize",Charter agency,1150,122,,,,21554000,1210000,32000,20312000,Not applicable,22325000,20677000,12095000,8582000,832000,3775000,39000,639000,1014000,53000,2230000,0,0,0,0,0,0,0,0,0,26000,0,0,0,1648000,0,1536000,38000,0,74000,12549000,8060000,4532000,78,94,90,92
2015,2500049,Boston Day and Evening Academy Charter (District),Massachusetts,424,Roxbury,"City, large",Charter agency,380,35,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,153,14,10,12
2015,2500051,Abby Kelley Foster Charter Public (District),Massachusetts,445,Worcester,"City, midsize",Charter agency,1426,107,,,,19533000,1416000,68000,18049000,Not applicable,18245000,17229000,10343000,6886000,899000,1782000,61000,95000,2093000,1122000,834000,0,0,0,0,0,0,0,0,0,62000,0,0,0,57000,0,0,2000,0,55000,10857000,7540000,3311000,77,100,95,97
2015,2500052,Foxborough Regional Charter (District),Massachusetts,446,Foxborough,"Suburb, large",Charter agency,1255,95,,,,16703000,567000,173000,15963000,Not applicable,15643000,13876000,7301000,6575000,1505000,1849000,29000,278000,1311000,567000,1036000,0,0,0,0,0,0,0,0,0,43000,0,0,0,21000,0,21000,0,0,0,8485000,5058000,2841000,64,100,95,97
2015,2500053,Boston Collegiate Charter (District),Massachusetts,449,Dorchester,"City, large",Charter agency,685,23,,,,13567000,480000,0,13087000,Not applicable,11923000,10932000,5547000,5385000,1408000,1637000,42000,307000,631000,393000,967000,0,0,0,0,0,9000,9000,0,0,16000,0,0,0,49000,0,9000,0,0,40000,6828000,4164000,2032000,59,100,90,95
2015,2500054,Edward M. Kennedy Academy for Health Careers (Horace Mann Ch,Massachusetts,452,Boston,"City, large",Charter agency,341,58,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,75,89,85,87
2015,2500055,Mystic Valley Regional Charter (District),Massachusetts,470,Malden,"Suburb, large",Charter agency,1489,29,,,,20149000,276000,407000,19466000,Not applicable,17304000,16336000,9366000,6970000,1486000,1182000,22000,208000,2202000,427000,1443000,0,0,0,0,0,0,0,0,0,140000,0,0,0,746000,0,343000,389000,0,14000,9110000,6317000,3312000,104,100,95,97
