year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,2300004,Bridgewater Public Schools,Maine,1022,Easton,"Rural, distant",Regular local school district,72,Missing/not reported,582,16,0.177778,495000,15000,224000,256000,Not applicable,592000,48000,2000,46000,19000,0,14000,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,,,,
2015,2300005,Grand Isle Public Schools,Maine,1067,Grand Isle,"Rural, remote",Regular local school district,30,Missing/not reported,446,12,0.214286,300000,1000,165000,134000,Not applicable,296000,69000,27000,42000,22000,0,20000,0,0,0,0,0,0,0,0,0,5000,0,5000,0,0,0,0,13000,17000,0,0,0,17000,0,2000,0,0,,,,
2015,2300008,Fayette Public Schools,Maine,1058,Fayette,"Rural, distant",Regular local school district,148,Missing/not reported,1120,21,0.139073,1803000,82000,127000,1594000,Not applicable,1713000,1017000,461000,509000,48000,31000,99000,79000,143000,109000,0,0,47000,47000,0,0,0,0,0,0,4000,23000,12000,15000,17000,0,0,0,17000,0,555000,310000,222000,,,,
2015,2300009,Long Island Public Schools,Maine,1135,Long Island,"Rural, fringe",Regular local school district,26,Missing/not reported,237,3,0.088235,501000,13000,34000,454000,Not applicable,461000,382000,271000,107000,2000,0,23000,20000,42000,20000,0,0,4000,4000,0,0,0,0,0,0,0,13000,2000,0,1000,0,0,0,1000,0,225000,183000,81000,,,,
2015,2300049,ME Sch of Science & Mathematics,Maine,1295,Limestone,"Rural, distant",State-operated agency,150,Missing/not reported,,,,5897000,20000,3554000,2323000,Not applicable,5301000,5251000,1748000,3503000,978000,118000,705000,194000,946000,88000,474000,0,0,0,0,0,0,0,0,0,23000,0,0,0,45000,0,0,3000,42000,0,2286000,1171000,655000,44,100,90,95
2015,2300050,Arthur R. Gould Sch--LCYDC,Maine,1296,South Portland,"City, small",State-operated agency,38,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,2300051,ME Educational Ctr for the Deaf & Hard of Hearing,Maine,1297,Falmouth,"Rural, fringe",State-operated agency,,,,,,7725000,240000,7156000,329000,Not applicable,7322000,5556000,2326000,3230000,395000,26000,825000,200000,738000,407000,639000,0,0,0,0,0,1617000,1617000,0,0,1000,0,0,0,82000,0,0,0,82000,0,1979000,958000,1353000,,,,
2015,2300052,The Forks Plt School Dept,Maine,1161,Anson,"Rural, remote",Regular local school district,3,Missing/not reported,36,1,0.5,106000,0,1000,105000,Not applicable,67000,40000,0,40000,0,0,3000,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,3000,,,,
2015,2300053,Five Town CSD,Maine,1294,Camden,"Rural, fringe",Regular local school district,656,13,13250,100,0.147059,13715000,307000,2166000,11242000,10583000,11589000,10425000,6468000,3571000,735000,501000,388000,486000,1128000,203000,130000,0,386000,386000,0,0,381000,0,381000,0,31000,229000,248000,20000,96000,0,0,12000,84000,0,6215000,4350000,2520000,160,100,95,97
2015,2300056,Mountain View Youth Dev Ctr,Maine,1298,Charleston,"Rural, distant",State-operated agency,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,2300057,Seboeis Plt Public Schools,Maine,3109,Lee,"Rural, remote",Regular local school district,,,35,0,0,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
