year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,3400004,The School District of the Chathams,New Jersey,270785,Chatham,"Suburb, large",Regular local school district,4174,19,19687,78,0.018288,79759000,1045000,9668000,69046000,61375000,77167000,65914000,40714000,24014000,6814000,2983000,1229000,3813000,6042000,1330000,1803000,0,1186000,1186000,0,0,168000,0,0,168000,50000,0,0,0,5796000,5375000,0,350000,71000,0,41117000,27114000,16214000,290,98,98,98
2015,3400005,Morris-Union Jointure Commisson School District,New Jersey,393395,New Providence,"Rural, fringe",Regular local school district,Missing/not reported,Missing/not reported,,,,41548000,77000,1920000,39551000,Not applicable,39570000,35014000,21390000,4936000,0,0,1301000,1625000,684000,0,1326000,0,8688000,257000,8431000,0,0,0,0,0,0,0,0,0,4556000,216000,3663000,3000,674000,0,17902000,13339000,8482000,,,,
2015,3400006,Atlantic County Special Services School District,New Jersey,10125,Mays Landing,"Suburb, midsize",Regular local school district,Missing/not reported,Missing/not reported,,,,33792000,416000,1870000,31506000,Not applicable,32060000,31158000,11310000,9091000,3842000,14000,501000,1009000,2153000,20000,1552000,0,10757000,579000,10178000,0,0,0,0,0,11000,0,0,0,719000,19000,0,15000,685000,0,14117000,7205000,7572000,,,,
2015,3400007,South  Bergen Jointure Commission School District,New Jersey,34845,Hasbrouck Heights,"Suburb, large",Regular local school district,Missing/not reported,3,,,,47059000,120000,2158000,44781000,Not applicable,46016000,45986000,9718000,36055000,9307000,49000,674000,2191000,2085000,20936000,813000,0,213000,213000,0,0,0,0,0,0,7000,0,0,0,30000,0,0,14000,16000,0,14824000,6483000,6727000,,,,
2015,3400008,GREAT MEADOWS REGIONAL SCHOOL DISTRICT,New Jersey,411785,Great Meadows,"Rural, fringe",Regular local school district,730,12,8462,53,0.037776,21915000,378000,7558000,13979000,13779000,24189000,13800000,8446000,5153000,1338000,328000,376000,791000,1266000,719000,335000,0,201000,201000,0,0,0,0,0,0,31000,0,0,0,3022000,2725000,106000,4000,187000,0,7269000,5196000,3918000,,,,
2015,3400009,Somerset Hills Regional School District,New Jersey,354815,Bernardsville,"Suburb, large",Regular local school district,1772,81,11551,96,0.040921,44350000,754000,5376000,38220000,32734000,43142000,38164000,22494000,15078000,4182000,1419000,936000,1925000,3820000,1806000,990000,0,592000,592000,0,0,171000,0,0,171000,185000,0,0,0,1671000,1604000,0,14000,53000,0,22612000,14956000,9237000,209,95,95,95
2015,3400014,Englewood on the Palisades Charter School,New Jersey,806430,Englewood,"Suburb, large",Charter agency,210,Missing/not reported,,,,3994000,218000,817000,2959000,Not applicable,4383000,4354000,2670000,1521000,0,0,600000,498000,423000,0,0,0,163000,163000,0,0,0,0,0,0,26000,0,0,0,29000,17000,5000,3000,4000,0,2473000,1805000,954000,,,,
2015,3400015,Teaneck Community Charter School,New Jersey,807890,Teaneck,"Suburb, large",Charter agency,306,Missing/not reported,,,,5805000,99000,807000,4899000,Not applicable,5626000,5600000,2982000,2241000,0,0,149000,674000,1373000,45000,0,0,377000,203000,174000,0,0,0,0,0,30000,0,0,0,26000,0,0,10000,16000,0,3030000,2089000,922000,,,,
2015,3400017,Camden's Promise Charter School,New Jersey,806215,Camden,"City, small",Charter agency,493,18,,,,9510000,907000,7104000,1499000,Not applicable,10889000,10713000,5737000,3828000,0,0,1292000,743000,1792000,1000,0,0,1148000,1148000,0,0,0,0,0,0,104000,0,0,0,176000,0,168000,0,8000,0,4464000,3408000,1988000,,,,
2015,3400019,chARTer~TECH High School for the Performing Arts,New Jersey,807410,Somers Point,"Suburb, midsize",Charter agency,339,Missing/not reported,,,,6446000,269000,6007000,170000,Not applicable,6373000,6220000,3458000,2762000,531000,16000,428000,318000,1050000,0,419000,0,0,0,0,0,0,0,0,0,22000,0,0,0,153000,29000,0,0,124000,0,3287000,2254000,1498000,84,84,80,82
2015,3400020,Discovery Charter School,New Jersey,806320,Newark,"City, large",Charter agency,98,Missing/not reported,,,,1677000,140000,1247000,290000,Not applicable,1665000,1658000,896000,662000,0,0,128000,317000,215000,2000,0,0,100000,100000,0,0,0,0,0,0,0,0,0,0,7000,0,0,2000,5000,0,689000,536000,341000,,,,
