year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,3600001,DOLGEVILLE CENTRAL SCHOOL DISTRICT,New York,211003040000,DOLGEVILLE,"Rural, distant",Regular local school district,928,Missing/not reported,5243,166,0.185061,18317000,939000,13155000,4223000,3852000,21764000,16466000,10874000,5099000,646000,901000,739000,630000,832000,1058000,293000,0,493000,493000,0,0,2000,2000,0,0,48000,0,0,0,4749000,4199000,0,52000,498000,0,9357000,6683000,5053000,76,84,80,82
2015,3600002,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,New York,411603040000,SAUQUOIT,"Rural, fringe",Regular local school district,1055,4,6640,161,0.147166,20234000,392000,13386000,6456000,5874000,20478000,17999000,11937000,6001000,853000,601000,581000,628000,1636000,1311000,391000,0,61000,61000,0,0,23000,3000,20000,0,85000,0,0,0,1457000,1088000,0,0,369000,0,10433000,7323000,5564000,87,94,90,92
2015,3600003,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,New York,513102040000,HERMON,"Rural, remote",Regular local school district,599,Missing/not reported,3375,115,0.199307,13515000,689000,10898000,1928000,1550000,16020000,11610000,7024000,4208000,571000,408000,762000,337000,948000,923000,259000,0,378000,378000,0,0,6000,0,6000,0,17000,0,0,0,3690000,3409000,0,1000,280000,0,6310000,4101000,4012000,52,79,70,74
2015,3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,New York,530515060000,SCHENECTADY,"Suburb, large",Regular local school district,2812,28,20344,308,0.10165,49697000,2183000,24793000,22721000,21087000,72208000,42574000,27187000,14094000,2351000,1712000,856000,2326000,2877000,2628000,1344000,0,1293000,1293000,0,0,203000,2000,201000,0,101000,0,0,0,25980000,25316000,0,16000,648000,0,26195000,17815000,11884000,235,83,83,83
2015,3600005,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,New York,171102040000,BROADALBIN,"Rural, distant",Regular local school district,1836,3,10998,260,0.143726,34057000,1210000,19839000,13008000,11929000,31573000,29089000,19079000,9303000,1148000,972000,1028000,980000,2113000,1996000,1066000,0,707000,707000,0,0,50000,1000,49000,0,78000,0,0,0,676000,55000,19000,0,602000,0,17090000,12135000,8621000,133,94,90,92
2015,3600006,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,New York,472202040000,CHERRY VALLEY,"Rural, distant",Regular local school district,494,Missing/not reported,3861,108,0.202247,13251000,489000,7686000,5076000,4559000,11752000,10807000,7100000,3442000,401000,254000,525000,239000,731000,904000,388000,0,265000,265000,0,0,104000,2000,102000,0,24000,0,0,0,91000,34000,0,7000,50000,0,5421000,3729000,4013000,42,100,90,95
2015,3600007,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,New York,572702040000,JASPER,"Rural, remote",Regular local school district,514,Missing/not reported,3367,259,0.314702,11965000,879000,8453000,2633000,2145000,10455000,10031000,5701000,4047000,331000,679000,456000,955000,783000,704000,139000,0,283000,283000,0,0,0,0,0,0,12000,0,0,0,128000,0,0,0,128000,0,5466000,3468000,3216000,49,79,70,74
2015,3600008,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,New York,580235060000,EAST PATCHOGUE,"Suburb, large",Regular local school district,4521,405,30016,790,0.168408,122476000,4470000,57915000,60091000,50899000,119350000,109452000,72056000,35541000,4881000,2071000,2181000,7773000,7822000,7756000,3057000,0,1855000,1855000,0,0,169000,0,169000,0,280000,0,0,0,701000,94000,0,179000,428000,0,61462000,45986000,29492000,359,82,82,82
2015,3600009,SARANAC CENTRAL SCHOOL DISTRICT,New York,91402060000,DANNEMORA,"Rural, distant",Regular local school district,1469,3,12910,293,0.18615,31726000,1094000,19310000,11322000,10492000,30456000,28879000,19417000,8892000,1729000,666000,949000,1242000,2048000,1712000,546000,0,570000,570000,0,0,22000,22000,0,0,86000,0,0,0,880000,88000,134000,103000,555000,0,16534000,11906000,9116000,133,89,85,87
2015,3600010,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,New York,541102060000,COBLESKILL,"Town, distant",Regular local school district,1721,6,13678,325,0.174169,40663000,1470000,23287000,15906000,13235000,37455000,33904000,21704000,11412000,2142000,1002000,731000,1326000,2493000,2802000,916000,0,788000,788000,0,0,167000,102000,65000,0,63000,0,0,0,777000,0,0,0,777000,0,18548000,12637000,12089000,184,74,70,72
