year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,4200001,Bedford County Technical Center,Pennsylvania,108051307,Everett,"Rural, fringe",Regional education service agency,0,0,,,,1925000,78000,559000,1288000,Not applicable,1884000,1822000,949000,873000,99000,45000,137000,312000,270000,1000,9000,0,0,0,0,0,18000,0,18000,0,9000,80000,30000,0,44000,0,0,27000,17000,0,962000,559000,564000,,,,
2015,4200003,Susquehanna County CTC,Pennsylvania,119584707,Springville,"Rural, distant",Regional education service agency,0,0,,,,5178000,480000,916000,3782000,Not applicable,5071000,4283000,2210000,2073000,467000,31000,166000,234000,650000,313000,212000,0,0,0,0,0,481000,0,481000,0,38000,117000,20000,0,304000,46000,0,109000,149000,0,2345000,1263000,1276000,,,,
2015,4200007,Fulton County AVTS,Pennsylvania,111292507,McConnellsburg,"Rural, distant",Regional education service agency,0,0,,,,916000,41000,233000,642000,Not applicable,907000,867000,577000,290000,2000,0,28000,136000,10000,0,114000,0,0,0,0,0,0,0,0,0,11000,5000,4000,0,40000,14000,0,25000,1000,0,403000,272000,326000,,,,
2015,4200011,Keystone Education Center CS,Pennsylvania,104432830,Greenville,"Rural, fringe",Charter agency,203,Missing/not reported,,,,4063000,548000,65000,3450000,Not applicable,3926000,3771000,2347000,1249000,211000,138000,62000,288000,213000,189000,148000,0,175000,175000,0,0,0,0,0,0,0,62000,21000,0,0,0,0,0,0,0,2141000,1514000,881000,56,69,60,64
2015,4200012,Chester Co Family Academy CS,Pennsylvania,124152880,West Chester,"Suburb, large",Charter agency,111,47,,,,227000,144000,5000,78000,Not applicable,1343000,1230000,749000,380000,5000,0,228000,130000,17000,0,0,0,101000,101000,0,0,0,0,0,0,0,13000,2000,0,21000,0,0,11000,10000,0,540000,387000,189000,,,,
2015,4200013,Community Academy of Philadelphia CS,Pennsylvania,126512840,Philadelphia,"City, large",Charter agency,1199,68,,,,15417000,1607000,335000,13475000,Not applicable,15503000,14635000,8473000,5484000,557000,242000,294000,2151000,1678000,0,562000,0,678000,678000,0,0,232000,232000,0,0,56000,184000,59000,0,161000,0,0,6000,155000,0,7438000,4484000,3854000,139,89,85,87
2015,4200014,Harambee Institute of Science and Technology CS,Pennsylvania,126512850,Philadelphia,"City, large",Charter agency,503,Missing/not reported,,,,5672000,556000,154000,4962000,Not applicable,6114000,5887000,3062000,2502000,267000,76000,342000,628000,946000,3000,240000,0,323000,323000,0,0,135000,135000,0,0,0,45000,179000,0,92000,0,0,92000,0,0,2379000,1628000,1337000,,,,
2015,4200015,World Communications CS,Pennsylvania,126512860,Philadelphia,"City, large",Charter agency,534,9,,,,6241000,595000,56000,5590000,Not applicable,6229000,6025000,3519000,2227000,0,0,202000,1289000,584000,0,152000,0,279000,279000,0,0,0,0,0,0,110000,53000,147000,0,162000,162000,0,0,0,0,3002000,1733000,1313000,95,5,0,2
2015,4200016,Youth Build Phila CS,Pennsylvania,126512870,Philadelphia,"City, large",Charter agency,256,3,,,,6796000,2302000,85000,4409000,Not applicable,5859000,5277000,2331000,2946000,337000,21000,1568000,112000,302000,0,606000,0,0,0,0,0,449000,449000,0,0,1000,0,100000,0,117000,0,0,104000,13000,0,3134000,1639000,978000,28,20,0,10
2015,4200017,Manchester Academic CS,Pennsylvania,102023030,Pittsburgh,"City, large",Charter agency,325,Missing/not reported,,,,5871000,348000,42000,5481000,Not applicable,5129000,4458000,3192000,1123000,0,0,842000,101000,0,0,180000,0,143000,143000,0,0,0,0,0,0,0,0,76000,0,671000,671000,0,0,0,0,2557000,1915000,1004000,,,,
