year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,5000001,Castleton-Hubbardton USD #42,Vermont,U042,Castleton,"Rural, fringe",Local school district that is a component of a supervisory union,351,3,,,,6321000,0,6266000,55000,0,6309000,5078000,3398000,1667000,411000,180000,25000,374000,662000,0,15000,0,13000,13000,0,0,0,0,0,0,7000,0,0,0,176000,0,0,7000,169000,0,2928000,2135000,1526000,,,,
2015,5000002,Spaulding UHSD #41,Vermont,U041,Barre,"Town, distant",Local school district that is a component of a supervisory union,668,4,,,,16735000,265000,15013000,1457000,0,18212000,14491000,8589000,4844000,1513000,333000,165000,1227000,1544000,21000,41000,0,1058000,1058000,0,0,51000,0,51000,0,56000,0,0,0,331000,0,0,180000,151000,0,7785000,5403000,3112000,164,89,85,87
2015,5000003,Lakeview USD #43,Vermont,U043,Greensboro,"Rural, remote",Local school district that is a component of a supervisory union,72,3,,,,1641000,3000,1618000,20000,0,1591000,972000,543000,373000,36000,49000,6000,173000,102000,3000,4000,0,56000,56000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,557000,339000,270000,,,,
2015,5000004,Battenkill Valley Supervisory Union,Vermont,SU060,Arlington,"Rural, distant",Supervisory union,,,2662,46,0.126722,2826000,459000,165000,2202000,Not applicable,2798000,2759000,1120000,1421000,599000,56000,231000,134000,13000,197000,191000,0,218000,218000,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,6000,0,1528000,752000,631000,,,,
2015,5000005,Woodside Juvenile Rehabilitation Center,Vermont,SC001,Colchester,"Suburb, midsize",State-operated agency,17,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000006,Essex Community Education Center,Vermont,U046,Essex Junction,"Suburb, midsize",Local school district that is a component of a supervisory union,1052,19,20199,52,0.045734,35016000,327000,27007000,7682000,0,35514000,29745000,19886000,8410000,1680000,518000,625000,1913000,2669000,416000,589000,0,1449000,1449000,0,0,627000,302000,325000,0,99000,0,0,0,591000,390000,0,84000,117000,0,17783000,12653000,7873000,307,90,90,90
2015,5000007,Barre Supervisory Union,Vermont,SU061,Barre,"Town, distant",Supervisory union,,,16714,270,0.108,5209000,2723000,753000,1733000,Not applicable,2643000,2529000,150000,2379000,164000,949000,426000,105000,176000,128000,431000,0,0,0,0,0,0,0,0,0,0,0,0,0,114000,0,0,29000,85000,0,1198000,11000,522000,,,,
2015,5000008,Duxbury/Waterbury Union #45,Vermont,U045,Duxbury,"Town, distant",Local school district that is a component of a supervisory union,708,5,,,,12458000,28000,12154000,276000,0,12219000,11022000,7479000,3207000,1040000,458000,30000,716000,882000,69000,12000,0,336000,336000,0,0,0,0,0,0,0,0,0,0,256000,0,0,87000,169000,0,6126000,4431000,2987000,,,,
2015,5000009,Mettawee Community School,Vermont,U047,West Pawlet,"Rural, fringe",Local school district that is a component of a supervisory union,197,Missing/not reported,,,,3510000,5000,3309000,196000,0,3571000,2631000,1784000,712000,112000,119000,22000,227000,226000,6000,0,0,135000,135000,0,0,0,0,0,0,10000,0,0,0,35000,0,0,4000,31000,0,1559000,1149000,801000,,,,
2015,5000011,Buels Gore School District,Vermont,T255,Richmond,"Rural, fringe",Local school district that is a component of a supervisory union,3,Missing/not reported,,,,62000,0,62000,0,0,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2015,5000012,Ferdinand School District,Vermont,T258,Newport,"Town, remote",Local school district that is a component of a supervisory union,4,Missing/not reported,,,,24000,0,24000,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2015,5000013,Glastenbury School District,Vermont,T259,Bennington,"Rural, fringe",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000014,Somerset School District,Vermont,T261,Wilmington,"Rural, distant",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000015,Averill School District,Vermont,T256,Canaan,"Rural, remote",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000016,Averys Gore School District,Vermont,T257,Canaan,"Rural, remote",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000017,Lewis School District,Vermont,T260,Canaan,"Rural, remote",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000018,Warners Grant School District,Vermont,T262,Canaan,"Rural, remote",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000019,Warrens Grant School District,Vermont,T263,Canaan,"Rural, remote",Local school district that is a component of a supervisory union,0,0,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000021,Patricia Hannaford Career Center School District,Vermont,TE001,Middlebury,"Town, distant",Regional education service agency,0,0,,,,3890000,117000,1948000,1825000,0,3322000,3030000,1679000,1269000,258000,124000,58000,356000,276000,25000,172000,0,82000,0,82000,0,150000,0,150000,0,4000,0,0,0,87000,0,0,2000,85000,0,2159000,1176000,705000,,,,
2015,5000022,Southwest Vermont Career Development Center,Vermont,TE002,Bennington,"Town, distant",Regional education service agency,0,0,,,,3866000,36000,2532000,1298000,0,3533000,3203000,1398000,1750000,335000,176000,52000,518000,436000,41000,192000,0,55000,0,55000,0,111000,0,111000,0,7000,0,0,0,219000,0,0,100000,119000,0,1805000,965000,544000,,,,
2015,5000023,Andover School District,Vermont,T004,Chester,"Rural, distant",Local school district that is a component of a supervisory union,4,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000024,Rivendell Interstate School District,Vermont,U146,Orford,"Rural, remote",Local school district that is a component of a supervisory union,317,3,2360,44,0.144262,10660000,437000,6367000,3856000,0,10184000,9673000,4177000,5265000,2193000,616000,248000,912000,682000,423000,191000,0,231000,231000,0,0,0,0,0,0,15000,0,0,0,144000,0,0,8000,136000,0,5312000,2768000,2612000,39,89,80,84
2015,5000025,Bellows Free Academy UHSD #48,Vermont,U048,Saint Albans,"Town, distant",Local school district that is a component of a supervisory union,662,4,,,,19197000,0,14641000,4556000,Not applicable,18574000,13876000,8670000,4878000,1085000,743000,92000,1003000,1732000,193000,30000,0,328000,328000,0,0,382000,0,382000,0,28000,0,0,0,354000,232000,122000,0,0,0,8723000,5902000,2714000,264,89,89,89
2015,5000026,Athens/Grafton Contract School District,Vermont,J006,Grafton,"Rural, distant",Local school district that is a component of a supervisory union,0,0,,,,3340000,0,1889000,1451000,0,3300000,919000,487000,432000,90000,30000,11000,150000,115000,0,36000,0,0,0,0,0,5000,5000,0,0,1000,0,0,0,8000,0,0,0,8000,0,619000,357000,162000,,,,
2015,5000027,Whitingham/Wilmington Joint School District,Vermont,J242,Jacksonville,"Rural, distant",Local school district that is a component of a supervisory union,0,0,,,,10053000,0,471000,9582000,0,9770000,7987000,5006000,2667000,541000,198000,31000,635000,624000,11000,627000,0,314000,314000,0,0,0,0,0,0,32000,0,0,0,175000,0,0,138000,37000,0,4347000,3141000,1979000,27,100,80,90
2015,5000028,Department of Corrections,Vermont,SU099,Waterbury,"Town, distant",State-operated agency,Not applicable,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000371,River Valley Technical Center,Vermont,TE003,Springfield,"Town, remote",Regional education service agency,0,0,,,,3344000,149000,1830000,1365000,0,3190000,2980000,1355000,1203000,210000,116000,37000,392000,407000,4000,37000,0,422000,0,422000,0,96000,0,96000,0,6000,0,0,0,114000,0,0,90000,24000,0,1751000,997000,550000,,,,
2015,5000372,University of Vermont,Vermont,HE001,Berlin,"Rural, fringe",Other education agency,,,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
2015,5000373,Northeast Kingdom Learning Services,Vermont,NP001,Newport,"Town, remote",Other education agency,,,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
2015,5000374,Brookline/Newfane Joint School Contract,Vermont,J033,Newfane,"Rural, distant",Local school district that is a component of a supervisory union,0,0,,,,2122000,6000,68000,2048000,0,2357000,1590000,1145000,393000,1000,7000,30000,187000,164000,1000,3000,0,52000,52000,0,0,0,0,0,0,7000,0,0,0,17000,0,0,13000,4000,0,765000,568000,297000,,,,
2015,5000384,Rivendell Interstate Supervisory District,Vermont,SU064,Orford,"Rural, remote",Supervisory union,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5000385,Two Rivers Supervisory Union,Vermont,SU063,Ludlow,"Rural, distant",Supervisory union,,,8886,125,0.105485,6611000,1445000,479000,4687000,Not applicable,6369000,5585000,2342000,3223000,1109000,446000,569000,377000,106000,207000,409000,0,20000,20000,0,0,0,0,0,0,0,0,0,0,20000,0,0,5000,15000,0,3094000,1328000,1359000,,,,
2015,5000386,Mountain Towns Regional Education District USD #301,Vermont,U301,Sunderland,"Rural, remote",Local school district that is a component of a supervisory union,469,3,,,,9909000,26000,9401000,482000,0,9802000,4242000,2859000,1230000,98000,243000,36000,344000,314000,193000,2000,0,153000,153000,0,0,0,0,0,0,2000,0,0,0,139000,0,0,5000,134000,0,2405000,1721000,1215000,,,,
2015,5000387,Mount Mansfield Modified USD #401A,Vermont,U401A,Jericho,"Rural, fringe",Local school district that is a component of a supervisory union,934,5,,,,17171000,339000,16569000,263000,0,15225000,9819000,6663000,3156000,562000,51000,358000,1085000,1024000,0,76000,0,0,0,0,0,0,0,0,0,46000,0,0,0,225000,60000,31000,58000,76000,0,5959000,4373000,2813000,,,,
2015,5000388,Mount Mansfield Modified USD #401B,Vermont,U401B,Jericho,"Rural, fringe",Local school district that is a component of a supervisory union,1539,3,,,,32528000,519000,31038000,971000,0,29154000,18022000,11923000,5154000,1083000,84000,31000,1558000,2233000,0,165000,0,945000,945000,0,0,0,0,0,0,97000,0,0,0,579000,0,0,427000,152000,0,10855000,8054000,4549000,182,94,90,92
2015,5000389,Bridgewater/Pomfret Joint Contract School District,Vermont,J028,South Pomfret,"Rural, distant",Local school district that is a component of a supervisory union,0,0,,,,1455000,0,187000,1268000,Not applicable,1475000,1230000,781000,390000,14000,39000,8000,154000,110000,65000,0,0,59000,59000,0,0,0,0,0,0,2000,0,0,0,13000,0,0,1000,12000,0,695000,559000,255000,,,,
2015,5001710,Addison School District,Vermont,T001,Addison,"Rural, distant",Local school district that is a component of a supervisory union,75,Missing/not reported,,,,1590000,24000,1553000,13000,0,1603000,1036000,609000,349000,65000,17000,8000,139000,115000,2000,3000,0,78000,78000,0,0,0,0,0,0,1000,0,0,0,3000,0,0,2000,1000,0,618000,379000,273000,,,,
2015,5001740,Albany School District,Vermont,T002,Albany,"Rural, remote",Local school district that is a component of a supervisory union,94,Missing/not reported,,,,1808000,4000,1746000,58000,0,1867000,1305000,794000,434000,30000,24000,10000,168000,123000,69000,10000,0,77000,77000,0,0,0,0,0,0,0,0,0,0,55000,0,0,41000,14000,0,678000,461000,309000,,,,
2015,5001770,Alburg School District,Vermont,T003,Alburg,"Rural, distant",Local school district that is a component of a supervisory union,292,3,,,,5611000,17000,5587000,7000,0,5432000,3483000,2293000,1017000,253000,70000,11000,266000,208000,202000,7000,0,173000,173000,0,0,0,0,0,0,20000,0,0,0,45000,0,0,17000,28000,0,1954000,1436000,849000,,,,
2015,5001830,Arlington School District,Vermont,T005,Arlington,"Rural, distant",Local school district that is a component of a supervisory union,355,Missing/not reported,,,,7614000,3000,7001000,610000,0,7152000,5129000,3441000,1688000,352000,259000,65000,418000,594000,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,54000,0,0,29000,25000,0,3176000,2296000,1289000,23,100,80,90
2015,5001860,Athens School District,Vermont,T006,Bellows Falls,"Town, distant",Local school district that is a component of a supervisory union,66,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,5001890,Bakersfield School District,Vermont,T007,Bakersfield,"Rural, distant",Local school district that is a component of a supervisory union,218,Missing/not reported,,,,3355000,0,3291000,64000,0,3269000,1595000,994000,504000,92000,48000,21000,170000,144000,7000,22000,0,97000,97000,0,0,0,0,0,0,12000,0,0,0,22000,0,0,0,22000,0,1049000,718000,314000,,,,
2015,5001920,Baltimore School District,Vermont,T008,Ludlow,"Rural, distant",Local school district that is a component of a supervisory union,50,Missing/not reported,,,,792000,0,782000,10000,0,801000,10000,0,10000,0,0,0,2000,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,,,,
2015,5001950,Barnard School District,Vermont,T009,Barnard,"Rural, remote",Local school district that is a component of a supervisory union,72,Missing/not reported,,,,1162000,0,1104000,58000,0,1128000,967000,639000,328000,21000,55000,9000,105000,101000,37000,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,4000,0,0,2000,2000,0,535000,422000,240000,,,,
2015,5001980,Barnet School District,Vermont,T010,Barnet,"Rural, distant",Local school district that is a component of a supervisory union,284,Missing/not reported,,,,4876000,6000,4710000,160000,0,5584000,3220000,2108000,966000,284000,140000,14000,185000,334000,8000,1000,0,146000,146000,0,0,0,0,0,0,12000,0,0,0,524000,436000,0,1000,87000,0,1922000,1416000,821000,,,,
2015,5002010,Barre City School District,Vermont,T011,Barre,"Rural, fringe",Local school district that is a component of a supervisory union,883,11,,,,13766000,0,13711000,55000,0,15102000,13443000,8904000,4539000,1659000,276000,91000,776000,994000,707000,36000,0,0,0,0,0,0,0,0,0,17000,0,0,0,261000,108000,0,8000,145000,0,7824000,5700000,3227000,,,,
2015,5002040,Barre Town School District,Vermont,T012,Barre,"Town, distant",Local school district that is a component of a supervisory union,830,4,,,,11777000,21000,11552000,204000,0,12012000,10881000,6490000,4067000,1065000,354000,112000,858000,1052000,531000,95000,0,324000,324000,0,0,0,0,0,0,35000,0,0,0,415000,0,0,27000,388000,0,6631000,4495000,2536000,,,,
2015,5002060,Chittenden School District,Vermont,T048,Brandon,"Rural, remote",Local school district that is a component of a supervisory union,185,Missing/not reported,,,,3224000,20000,3202000,2000,0,3347000,66000,55000,11000,0,0,10000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,,,,
2015,5002070,Barton Incorporated School District,Vermont,T013,Barton,"Rural, remote",Local school district that is a component of a supervisory union,169,Missing/not reported,,,,2891000,9000,2796000,86000,30000,3101000,2225000,1300000,765000,68000,34000,44000,281000,216000,112000,10000,0,160000,160000,0,0,0,0,0,0,10000,0,0,0,43000,0,0,40000,3000,0,1184000,809000,611000,,,,
2015,5002100,Belvidere School District,Vermont,T014,Belvidere,"Rural, distant",Local school district that is a component of a supervisory union,38,Missing/not reported,,,,595000,0,556000,39000,0,663000,91000,0,91000,18000,0,9000,2000,9000,53000,0,0,0,0,0,0,15000,15000,0,0,0,0,0,0,36000,36000,0,0,0,0,12000,0,1000,,,,
2015,5002130,Bennington Incorporated School District,Vermont,T015,Bennington,"Town, distant",Local school district that is a component of a supervisory union,927,4,,,,13959000,11000,13648000,300000,0,13457000,7708000,4303000,3404000,899000,302000,55000,827000,989000,263000,69000,0,1000,1000,0,0,0,0,0,0,3000,0,0,0,152000,0,0,108000,44000,0,4683000,2941000,1767000,,,,
2015,5002160,Benson School District,Vermont,T017,Benson,"Rural, distant",Local school district that is a component of a supervisory union,90,Missing/not reported,,,,1703000,0,1681000,22000,0,1706000,1316000,878000,437000,92000,78000,9000,106000,142000,10000,0,0,1000,1000,0,0,0,0,0,0,3000,0,0,0,14000,0,0,0,14000,0,715000,501000,307000,,,,
