year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,1700001,River Ridge CUSD 210,Illinois,08-043-2100-26,Hanover,"Rural, distant",Regular local school district,536,5,3621,64,0.127237,9768000,607000,2048000,7113000,6481000,9946000,8154000,5161000,2727000,401000,253000,452000,386000,630000,373000,232000,0,266000,266000,0,0,1000,1000,0,0,0,0,0,0,1394000,1271000,0,32000,91000,0,4592000,3244000,2672000,43,100,90,95
2015,1700002,Casey-Westfield CUSD 4C,Illinois,11-012-004C-26,Casey,"Town, distant",Regular local school district,941,3,5948,184,0.182178,10919000,835000,6109000,3975000,3292000,10543000,9942000,5446000,4052000,401000,282000,796000,532000,1155000,734000,152000,0,444000,444000,0,0,0,0,0,0,0,0,0,0,373000,266000,0,73000,34000,0,5282000,3303000,3045000,78,89,85,87
2015,1700003,Blue Ridge CUSD 18,Illinois,17-020-0180-26,Farmer City,"Rural, distant",Regular local school district,782,Missing/not reported,5115,98,0.123737,11906000,512000,3382000,8012000,7295000,11325000,9960000,5482000,4200000,319000,580000,515000,701000,1146000,852000,87000,0,278000,278000,0,0,20000,20000,0,0,0,0,0,0,263000,152000,0,24000,87000,0,4927000,3202000,3599000,64,94,90,92
2015,1700004,Norris City-Omaha-Enfield CUSD 3,Illinois,20-097-0030-26,Norris City,"Rural, remote",Regular local school district,725,Missing/not reported,4352,146,0.202778,7456000,438000,4957000,2061000,1544000,7571000,6753000,4016000,2463000,317000,0,335000,464000,577000,531000,239000,0,274000,274000,0,0,0,0,0,0,0,0,0,0,584000,149000,0,0,435000,0,3352000,2192000,2437000,53,100,90,95
2015,1700005,Prairie Central CUSD 8,Illinois,17-053-0080-26,Fairbury,"Rural, distant",Regular local school district,2050,8,10834,278,0.137284,28478000,1301000,12885000,14292000,11934000,28113000,25854000,16796000,8055000,752000,1004000,919000,1729000,1384000,1677000,590000,0,1003000,1003000,0,0,0,0,0,0,0,0,0,0,855000,722000,0,40000,93000,0,13916000,10162000,8417000,143,94,90,92
2015,1700006,IDJJ Sch Dist 428,Illinois,60-105-4280-30,Chicago,"Rural, distant",State-operated agency,347,3,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,197,54,50,52
2015,1700007,Eastland CUSD 308,Illinois,08-008-3080-26,Lanark,"Rural, distant",Regular local school district,632,Missing/not reported,4056,87,0.145973,10108000,503000,2100000,7505000,7024000,8723000,7694000,4526000,2825000,192000,212000,427000,378000,935000,485000,196000,0,343000,343000,0,0,95000,95000,0,0,0,0,0,0,373000,170000,0,102000,101000,0,4154000,2784000,2379000,52,100,90,95
2015,1700009,Pinckneyville SD 50,Illinois,30-073-0500-02,Pinckneyville,"Town, distant",Regular local school district,534,Missing/not reported,6140,164,0.258268,4699000,456000,2557000,1686000,1259000,4990000,4782000,2614000,1976000,213000,15000,387000,378000,554000,367000,62000,0,192000,192000,0,0,3000,3000,0,0,0,0,0,0,84000,77000,0,4000,3000,0,2670000,1833000,1069000,,,,
2015,1700010,Beach Park CCSD 3,Illinois,34-049-0030-04,Beach Park,"Suburb, large",Regular local school district,2356,341,20323,376,0.146417,42305000,2184000,20671000,19450000,19114000,37647000,35384000,23231000,10876000,2675000,691000,1624000,1403000,1823000,1904000,756000,0,1277000,1277000,0,0,24000,24000,0,0,0,0,0,0,154000,7000,0,139000,8000,0,15202000,11979000,14770000,,,,
2015,1700012,Quincy Area Voc Ctr,Illinois,01-001-1720-41,Quincy,"Town, remote",Regional education service agency,,,,,,1987000,101000,428000,1458000,Not applicable,1996000,1849000,1356000,493000,17000,45000,9000,283000,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147000,0,0,147000,0,0,1155000,896000,203000,,,,
