year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,1000004,Charter School of Wilmington,Delaware,70,Wilmington,"City, small",Charter agency,972,Missing/not reported,,,,9875000,114000,6412000,3349000,Not applicable,9861000,9802000,7341000,2461000,276000,260000,895000,0,225000,0,805000,0,0,0,0,0,33000,0,33000,0,6000,0,775000,0,26000,0,0,26000,0,0,5395000,4016000,2360000,243,100,99,99
2015,1000005,Positive Outcomes Charter School,Delaware,71,Camden,"Suburb, midsize",Charter agency,126,Missing/not reported,,,,3306000,172000,2638000,496000,Not applicable,3114000,3055000,1912000,1104000,237000,0,331000,153000,359000,5000,19000,0,39000,39000,0,0,0,0,0,0,61000,33000,106000,0,59000,0,0,0,59000,0,1454000,1077000,725000,23,100,80,90
2015,1000006,East Side Charter School,Delaware,72,Wilmington,"City, small",Charter agency,443,13,,,,7502000,1036000,3537000,2929000,Not applicable,6843000,6732000,3146000,3210000,313000,756000,1206000,0,595000,0,340000,0,376000,376000,0,0,0,0,0,0,0,151000,151000,0,111000,0,0,0,111000,0,3223000,1982000,1483000,,,,
2015,1000007,Campus Community Charter School,Delaware,74,Dover,"City, small",Charter agency,417,3,,,,4890000,612000,3431000,847000,Not applicable,4499000,4499000,2436000,1904000,205000,60000,652000,0,748000,0,239000,0,159000,159000,0,0,0,0,0,0,50000,85000,54000,0,0,0,0,0,0,0,2142000,1511000,1115000,,,,
2015,1000010,Edison (Thomas A.) Charter School,Delaware,76,Wilmington,"City, small",Charter agency,758,3,,,,9834000,1484000,4784000,3566000,Not applicable,9080000,9028000,5860000,2604000,543000,0,0,0,2053000,0,8000,0,564000,564000,0,0,0,0,0,0,88000,148000,927000,0,52000,0,0,52000,0,0,3828000,3666000,1802000,,,,
2015,1000011,Sussex Academy,Delaware,77,Georgetown,"Town, fringe",Charter agency,491,4,,,,6655000,185000,4806000,1664000,Not applicable,6468000,6375000,3528000,2727000,231000,0,91000,0,1709000,472000,224000,0,120000,120000,0,0,0,0,0,0,0,182000,773000,0,93000,0,0,26000,67000,0,2506000,2017000,1382000,,,,
2015,1000014,Kuumba Academy Charter School,Delaware,82,Wilmington,"City, small",Charter agency,549,4,,,,7261000,741000,3906000,2614000,Not applicable,8002000,7703000,4530000,3173000,251000,83000,0,0,2725000,0,114000,0,0,0,0,0,0,0,0,0,7000,34000,137000,0,299000,0,0,299000,0,0,2981000,2923000,1320000,,,,
2015,1000015,Newark Charter School,Delaware,89,Newark,"Suburb, large",Charter agency,2140,70,,,,27372000,556000,16932000,9884000,Not applicable,24434000,22337000,15995000,6018000,844000,287000,387000,962000,1580000,1574000,384000,0,324000,324000,0,0,4000,0,4000,0,404000,330000,1862000,0,2093000,1513000,0,401000,179000,0,12145000,9717000,5793000,,,,
2015,1000016,Delaware Military Academy,Delaware,79,Wilmington,"Suburb, large",Charter agency,564,3,,,,6457000,147000,3905000,2405000,Not applicable,6695000,5187000,414000,4773000,88000,0,16000,0,505000,0,4164000,0,0,0,0,0,0,0,0,0,60000,101000,501000,0,0,0,0,0,0,0,2868000,0,1296000,126,100,95,97
2015,1000017,Academy of Dover Charter School,Delaware,85,Dover,"City, small",Charter agency,284,12,,,,3855000,561000,2572000,722000,Not applicable,3614000,3613000,1559000,1784000,259000,0,294000,53000,919000,0,259000,0,270000,270000,0,0,0,0,0,0,9000,45000,244000,0,1000,0,0,1000,0,0,1344000,974000,705000,,,,
2015,1000018,Providence Creek Academy Charter School,Delaware,87,Clayton,"Rural, fringe",Charter agency,690,3,,,,7407000,385000,5440000,1582000,Not applicable,7475000,7189000,3496000,3371000,609000,1000000,119000,18000,899000,0,726000,0,322000,322000,0,0,0,0,0,0,67000,158000,135000,0,286000,0,0,286000,0,0,3437000,2100000,1503000,,,,
2015,1000019,MOT Charter School,Delaware,88,Middletown,"Rural, fringe",Charter agency,1013,20,,,,12720000,231000,8372000,4117000,Not applicable,11322000,11028000,6389000,4251000,487000,278000,565000,595000,1567000,645000,114000,0,388000,388000,0,0,0,0,0,0,33000,244000,925000,0,278000,0,0,278000,0,0,4854000,3346000,2303000,,,,
