year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,100002,Alabama Youth Services,Alabama,210,Mt. Meigs,"Rural, fringe",Regular local school district,Missing/not reported,Missing/not reported,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
2015,100005,Albertville City,Alabama,101,Albertville,"Town, distant",Regular local school district,5214,735,21514,1679,0.417143,49795000,7277000,28885000,13633000,4726000,46778000,42892000,24173000,15092000,2942000,1500000,1457000,2438000,3831000,2121000,803000,0,3627000,3627000,0,0,808000,193000,186000,429000,295000,0,0,0,1212000,999000,175000,0,38000,0,23204000,14772000,9435000,296,92,92,92
2015,100006,Marshall County,Alabama,48,Guntersville,"Rural, distant",Regular local school district,5635,314,48140,2485,0.287682,56422000,7747000,35295000,13380000,6518000,64739000,52839000,27425000,20913000,3538000,1814000,1933000,3693000,5882000,3168000,885000,0,4501000,4501000,0,0,1288000,448000,331000,509000,335000,0,0,0,10116000,9473000,147000,42000,454000,0,29355000,17341000,11941000,434,88,88,88
2015,100007,Hoover City,Alabama,158,Hoover,"City, small",Regular local school district,13910,553,82692,1372,0.092465,168040000,6088000,69229000,92723000,71266000,165436000,150214000,91782000,49945000,8683000,5836000,1797000,9868000,14936000,6686000,2139000,0,8487000,8487000,0,0,4071000,1453000,0,2618000,1073000,0,0,0,3277000,2359000,0,149000,769000,0,88366000,60017000,34416000,1127,93,93,93
2015,100008,Madison City,Alabama,169,Madison,"Suburb, large",Regular local school district,10011,292,45488,951,0.099093,105927000,5007000,56050000,44870000,18460000,101154000,93471000,55315000,33444000,6093000,6643000,1799000,4985000,8929000,3452000,1543000,0,4712000,4712000,0,0,1003000,671000,0,332000,911000,0,0,0,2393000,877000,471000,19000,1026000,0,51793000,34205000,19979000,855,97,97,97
2015,100009,Al Inst Deaf And Blind,Alabama,600,Talladega,"Town, distant",State-operated agency,Missing/not reported,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,100011,Leeds City,Alabama,167,Leeds,"Suburb, large",Regular local school district,1905,91,11886,428,0.244432,27699000,1522000,10713000,15464000,4161000,32285000,17304000,9932000,6313000,1171000,655000,376000,919000,1531000,761000,900000,0,1059000,1059000,0,0,311000,204000,4000,103000,50000,0,0,0,12244000,12216000,0,7000,21000,0,9443000,6400000,3642000,123,94,90,92
2015,100012,Boaz City,Alabama,115,Boaz,"Town, distant",Regular local school district,2310,154,9606,518,0.297359,22813000,2457000,13373000,6983000,2467000,22413000,21422000,11707000,7949000,1018000,926000,1297000,1342000,1987000,775000,604000,0,1766000,1766000,0,0,448000,249000,15000,184000,146000,0,0,0,65000,59000,0,6000,0,0,12122000,7495000,4693000,151,84,80,82
2015,100013,Trussville City,Alabama,205,Trussville,"Suburb, large",Regular local school district,4456,30,20071,353,0.090374,47842000,971000,23259000,23612000,13924000,65049000,42140000,23174000,16568000,2717000,1028000,1198000,2455000,4912000,2510000,1748000,0,2398000,2398000,0,0,903000,168000,26000,709000,336000,0,0,0,20644000,20098000,0,14000,532000,0,23627000,15257000,9145000,381,96,96,96
2015,100015,SafetyNet Academy,Alabama,602,Birmingham,"City, midsize",State-operated agency,Missing/not reported,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,100016,Bryce Adolescent School,Alabama,606,Tuscaloosa,"City, small",State-operated agency,Missing/not reported,Missing/not reported,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,100018,Alabama School of Fine Arts,Alabama,207,Birmingham,"City, midsize",Regular local school district,Missing/not reported,Missing/not reported,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
2015,100019,UCP Of Greater Birmingham,Alabama,613,Birmingham,"City, midsize",State-operated agency,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,100020,Boyd School,Alabama,618,Green Pond,"Town, fringe",State-operated agency,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
2015,100021,Brewers Porch Childrens Center,Alabama,619,Tuscaloosa,"City, small",State-operated agency,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,
