year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,400001,Cave Creek Unified District,Arizona,4244,Scottsdale,"City, midsize",Regular local school district,5392,60,61401,458,0.0516,46654000,2130000,9485000,35039000,27258000,55252000,37243000,19429000,16339000,3753000,1188000,1004000,1531000,4517000,2494000,1852000,0,1475000,1475000,0,0,1938000,1938000,0,0,417000,1673000,365000,0,14409000,14009000,4000,0,0,396000,22572000,13765000,7159000,415,93,93,93
2015,400003,Chino Valley Unified District,Arizona,4474,Chino Valley,"Town, fringe",Regular local school district,2384,114,22744,762,0.21562,17544000,2712000,6366000,8466000,6271000,17362000,16797000,8153000,7408000,1527000,479000,639000,810000,2234000,1061000,658000,0,1236000,1236000,0,0,0,0,0,0,4000,494000,139000,0,216000,216000,0,0,0,0,8267000,5467000,2894000,195,94,90,92
2015,400004,Clarkdale-Jerome Elementary District,Arizona,4486,Clarkdale,"Town, distant",Regular local school district,477,3,3983,56,0.164706,4033000,480000,1545000,2008000,1370000,3618000,3584000,2058000,1331000,365000,93000,140000,88000,311000,163000,171000,0,195000,195000,0,0,0,0,0,0,72000,51000,24000,0,32000,32000,0,0,0,0,2118000,1412000,767000,,,,
2015,400005,Salome Consolidated Elementary District,Arizona,4514,Salome,"Rural, remote",Regular local school district,120,42,2718,55,0.426357,1536000,228000,348000,960000,921000,1357000,1330000,559000,656000,75000,60000,115000,0,201000,89000,116000,0,115000,115000,0,0,26000,26000,0,0,5000,35000,65000,0,0,0,0,0,0,0,705000,368000,228000,,,,
2015,400016,Center for Academic Success  Inc.,Arizona,4191,Sierra Vista,"Town, remote",Charter agency,1205,357,,,,11720000,3481000,8142000,97000,Not applicable,10031000,9643000,4769000,2595000,423000,195000,159000,364000,1047000,46000,361000,0,2279000,2279000,0,0,0,0,0,0,77000,183000,0,0,382000,2000,147000,0,0,233000,4987000,3419000,1683000,46,89,80,84
2015,400018,Pine Forest Education Association  Inc.,Arizona,4201,Flagstaff,"City, small",Charter agency,247,5,,,,2012000,90000,1716000,206000,Not applicable,1743000,1734000,1251000,483000,74000,0,273000,0,118000,0,18000,0,0,0,0,0,0,0,0,0,0,33000,0,0,9000,0,0,0,0,9000,1202000,1005000,280000,,,,
2015,400019,Flagstaff Arts And Leadership Academy,Arizona,4202,Flagstaff,"City, small",Charter agency,322,Missing/not reported,,,,2914000,44000,2614000,256000,Not applicable,2163000,2163000,1421000,742000,246000,0,0,320000,144000,0,32000,0,0,0,0,0,0,0,0,0,2000,31000,0,0,0,0,0,0,0,0,1324000,1035000,407000,60,89,80,84
2015,400020,Flagstaff Montessori  L.L.C.,Arizona,4205,Flagstaff,"City, small",Charter agency,215,Missing/not reported,,,,1457000,0,1427000,30000,Not applicable,1458000,1458000,941000,517000,97000,18000,0,0,400000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910000,812000,87000,,,,
2015,400021,Colorado City Unified District,Arizona,4370,Colorado City,"Rural, fringe",Regular local school district,596,Missing/not reported,6272,940,0.383048,5631000,1669000,2658000,1304000,639000,5010000,4730000,2547000,2040000,172000,537000,33000,197000,546000,224000,331000,0,143000,143000,0,0,0,0,0,0,50000,148000,0,0,280000,119000,161000,0,0,0,2809000,1759000,775000,31,79,70,74
2015,400022,Vernon Elementary District,Arizona,4162,Vernon,"Rural, remote",Regular local school district,146,Missing/not reported,1930,86,0.318519,1692000,345000,675000,672000,576000,1900000,1843000,899000,899000,74000,74000,210000,48000,169000,161000,163000,0,45000,45000,0,0,0,0,0,0,16000,32000,30000,0,57000,49000,8000,0,0,0,888000,521000,281000,10,100,50,75
2015,400023,Pinon Unified District,Arizona,4390,Pinon,"Rural, remote",Regular local school district,1218,99,7132,719,0.403933,21517000,10742000,8594000,2181000,0,19521000,19230000,7551000,10833000,1549000,1424000,644000,1192000,3513000,1671000,840000,0,846000,846000,0,0,0,0,0,0,130000,644000,105000,0,0,0,0,0,0,0,10623000,5491000,3673000,105,64,60,62
2015,400026,Heber-Overgaard Unified District,Arizona,4392,Heber,"Rural, remote",Regular local school district,443,3,4124,162,0.332649,5400000,773000,1084000,3543000,3154000,4561000,4330000,2223000,1905000,238000,109000,205000,197000,732000,229000,195000,0,202000,202000,0,0,0,0,0,0,62000,215000,46000,0,19000,14000,3000,0,0,2000,2404000,1518000,864000,28,100,80,90
2015,400028,Triumphant Learning Center,Arizona,4225,Safford,"Town, remote",Charter agency,104,Missing/not reported,,,,685000,19000,659000,7000,Not applicable,677000,675000,327000,348000,59000,0,51000,66000,157000,0,15000,0,0,0,0,0,0,0,0,0,8000,11000,0,0,2000,0,0,0,0,2000,377000,254000,70000,,,,
2015,400031,Ridgeline Academy  Inc.,Arizona,4301,Phoenix,"City, large",Charter agency,581,5,,,,4014000,116000,3609000,289000,Not applicable,4460000,4460000,2923000,1331000,295000,58000,0,270000,633000,25000,50000,0,206000,206000,0,0,0,0,0,0,7000,27000,0,0,0,0,0,0,0,0,2075000,1649000,568000,,,,
2015,400033,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,Arizona,4305,Mesa,"City, large",Charter agency,239,19,,,,2178000,412000,1735000,31000,Not applicable,2176000,2156000,1347000,524000,30000,79000,74000,102000,234000,0,5000,0,285000,285000,0,0,0,0,0,0,14000,0,0,0,20000,0,0,0,0,20000,1186000,928000,277000,,,,
2015,400034,Reid Traditional Schools' Valley Academy  Inc.,Arizona,4306,Phoenix,"City, large",Charter agency,795,13,,,,5416000,93000,4836000,487000,Not applicable,3963000,3950000,2542000,1408000,59000,83000,0,461000,442000,0,363000,0,0,0,0,0,0,0,0,0,34000,131000,0,0,13000,0,0,0,0,13000,2226000,1780000,763000,,,,
2015,400036,Foothills Academy,Arizona,4309,Scottsdale,"City, midsize",Charter agency,334,Missing/not reported,,,,2818000,64000,2329000,425000,Not applicable,2521000,2521000,1277000,1233000,128000,1000,0,667000,355000,1000,81000,0,11000,11000,0,0,0,0,0,0,1000,64000,0,0,0,0,0,0,0,0,1611000,1042000,253000,35,89,80,84
2015,400037,Twenty First Century Charter School  Inc. Bennett Academy,Arizona,4310,Phoenix,"City, large",Charter agency,334,21,,,,2186000,0,2144000,42000,Not applicable,2008000,2008000,1098000,910000,59000,46000,0,289000,412000,87000,17000,0,0,0,0,0,0,0,0,0,24000,47000,0,0,0,0,0,0,0,0,1180000,855000,163000,,,,
2015,400040,STEP UP Schools  Inc.,Arizona,4313,Mesa,"City, large",Charter agency,96,9,,,,838000,67000,707000,64000,Not applicable,1022000,1022000,711000,300000,98000,5000,6000,9000,96000,4000,82000,0,11000,11000,0,0,0,0,0,0,6000,18000,0,0,0,0,0,0,0,0,632000,512000,140000,,,,
2015,400041,Maricopa County Community College District dba Gateway Early,Arizona,4314,Phoenix,"City, large",Charter agency,254,4,,,,2172000,156000,2014000,2000,Not applicable,2312000,2126000,1462000,599000,146000,11000,0,410000,0,30000,2000,0,65000,65000,0,0,0,0,0,0,35000,0,0,0,84000,0,84000,0,0,0,1278000,944000,476000,48,100,90,95
2015,400043,New School For The Arts,Arizona,4316,Tempe,"City, midsize",Charter agency,196,Missing/not reported,,,,1833000,18000,1582000,233000,Not applicable,1472000,1472000,829000,643000,58000,0,81000,214000,197000,0,93000,0,0,0,0,0,0,0,0,0,18000,82000,0,0,0,0,0,0,0,0,843000,593000,188000,38,100,90,95
2015,400047,Salt River Pima-Maricopa  Community Schools,Arizona,4320,Scottsdale,"Rural, fringe",Charter agency,260,Missing/not reported,,,,6317000,2094000,2032000,2191000,Not applicable,6068000,6068000,3642000,1504000,82000,0,1052000,370000,0,0,0,0,922000,922000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981000,2493000,1384000,72,49,45,47
2015,400052,Espiritu Community Development Corp. 1,Arizona,4335,Phoenix,"City, large",Charter agency,290,21,,,,2890000,548000,2291000,51000,Not applicable,3360000,3328000,1100000,1944000,83000,45000,194000,306000,785000,17000,514000,0,284000,284000,0,0,0,0,0,0,8000,99000,0,0,31000,0,31000,0,0,0,961000,568000,279000,30,100,80,90
2015,400053,Heritage Academy  Inc.,Arizona,4336,Mesa,"City, large",Charter agency,707,Missing/not reported,,,,5691000,0,5152000,539000,Not applicable,5519000,4236000,3067000,1169000,31000,9000,0,157000,626000,12000,334000,0,0,0,0,0,0,0,0,0,0,34000,0,0,1283000,413000,848000,0,0,22000,2765000,2438000,550000,107,100,95,97
2015,400054,Villa Montessori Charter School,Arizona,4339,Phoenix,"City, large",Charter agency,498,3,,,,6730000,52000,3334000,3344000,Not applicable,5324000,5180000,3412000,1768000,0,66000,247000,706000,469000,28000,252000,0,0,0,0,0,0,0,0,0,0,99000,0,0,144000,69000,14000,0,0,61000,3222000,2540000,542000,,,,
2015,400055,EduPreneurship  Inc.,Arizona,4341,Phoenix,"City, large",Charter agency,73,5,,,,679000,156000,520000,3000,Not applicable,623000,623000,274000,304000,72000,5000,21000,90000,96000,0,20000,0,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304000,200000,87000,,,,
2015,400056,Arizona School For The Arts,Arizona,4345,Phoenix,"City, large",Charter agency,832,Missing/not reported,,,,7906000,95000,6182000,1629000,Not applicable,5991000,5804000,4032000,1772000,309000,2000,243000,318000,420000,15000,465000,0,0,0,0,0,0,0,0,0,9000,129000,0,0,187000,0,10000,0,0,177000,3631000,2908000,984000,79,94,90,92
2015,400057,Arizona Call-a-Teen Youth Resources  Inc.,Arizona,4346,Phoenix,"City, large",Charter agency,99,8,,,,1016000,0,1012000,4000,Not applicable,1042000,1042000,277000,765000,258000,0,66000,172000,158000,11000,100000,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,404000,189000,84000,52,29,20,24
2015,400061,Intelli-School  Inc.,Arizona,4352,Phoenix,"City, large",Charter agency,87,3,,,,751000,56000,675000,20000,Not applicable,777000,777000,209000,568000,44000,0,2000,66000,115000,2000,339000,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,208000,130000,93000,51,19,11,15
2015,400065,Benjamin Franklin Charter School,Arizona,4355,Gilbert,"Suburb, large",Charter agency,2897,5,,,,19129000,0,18515000,614000,Not applicable,17816000,17816000,8197000,9375000,486000,10000,706000,898000,6184000,193000,898000,0,244000,244000,0,0,0,0,0,0,195000,324000,0,0,0,0,0,0,0,0,8030000,5848000,2260000,35,100,90,95
2015,400067,Victory High School  Inc.,Arizona,4358,Phoenix,"City, large",Charter agency,22,3,,,,244000,28000,209000,7000,Not applicable,190000,190000,47000,121000,9000,0,1000,37000,49000,0,25000,0,22000,22000,0,0,0,0,0,0,3000,8000,0,0,0,0,0,0,0,0,82000,40000,8000,4,Suppressed data,Suppressed data,Suppressed data
2015,400068,Montessori Day Public Schools Chartered  Inc.,Arizona,4359,Phoenix,"City, large",Charter agency,276,12,,,,2117000,107000,1876000,134000,Not applicable,1997000,1992000,971000,1021000,3000,71000,28000,210000,600000,0,109000,0,0,0,0,0,0,0,0,0,0,59000,0,0,5000,0,5000,0,0,0,1052000,683000,211000,,,,
2015,400069,Khalsa Montessori Elementary Schools,Arizona,4360,Phoenix,"City, large",Charter agency,128,Missing/not reported,,,,1042000,15000,870000,157000,Not applicable,843000,843000,444000,399000,25000,0,0,242000,97000,0,35000,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,469000,272000,65000,,,,
2015,400070,Tempe Preparatory Academy,Arizona,4361,Tempe,"City, midsize",Charter agency,347,Missing/not reported,,,,3363000,0,2660000,703000,Not applicable,2905000,2588000,1765000,708000,141000,2000,0,326000,191000,0,48000,0,115000,115000,0,0,0,0,0,0,8000,30000,0,0,317000,0,317000,0,0,0,1784000,1423000,367000,50,100,90,95
2015,400071,Bright Beginnings School  Inc.,Arizona,4362,Chandler,"Suburb, large",Charter agency,305,Missing/not reported,,,,2321000,0,2060000,261000,Not applicable,2652000,2650000,1234000,1416000,11000,0,15000,308000,938000,13000,131000,0,0,0,0,0,0,0,0,0,27000,37000,0,0,2000,0,0,0,0,2000,1299000,1051000,174000,,,,
2015,400072,Montessori Education Centre Charter School,Arizona,4363,Mesa,"City, large",Charter agency,468,7,,,,3338000,45000,3151000,142000,Not applicable,2786000,2786000,1776000,1010000,0,177000,0,195000,638000,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,1879000,1456000,188000,,,,
2015,400074,Kingman Academy Of Learning,Arizona,4383,Kingman,"Town, remote",Charter agency,1344,3,,,,11743000,454000,9657000,1632000,Not applicable,9299000,9053000,5577000,3400000,286000,503000,309000,723000,603000,427000,549000,0,76000,76000,0,0,0,0,0,0,0,208000,0,0,174000,14000,3000,0,0,157000,4747000,3110000,2467000,83,94,90,92
2015,400075,Young Scholars Academy Charter School Corp.,Arizona,4385,Bullhead City,"Town, remote",Charter agency,404,13,,,,3102000,179000,2761000,162000,Not applicable,2546000,2510000,1601000,883000,329000,3000,25000,309000,214000,0,3000,0,26000,26000,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,36000,1703000,1165000,468000,,,,
2015,400077,Career Development  Inc.,Arizona,4400,Taylor,"Rural, fringe",Charter agency,102,3,,,,1256000,243000,1006000,7000,Not applicable,1256000,1250000,512000,641000,129000,83000,39000,89000,104000,109000,88000,0,97000,97000,0,0,0,0,0,0,2000,46000,0,0,6000,0,0,0,0,6000,716000,375000,220000,40,49,40,44
2015,400078,Edge School  Inc.  The,Arizona,4421,Tucson,"City, large",Charter agency,240,3,,,,2239000,193000,1992000,54000,Not applicable,1807000,1775000,875000,900000,249000,121000,26000,151000,234000,6000,113000,0,0,0,0,0,0,0,0,0,8000,27000,0,0,32000,0,11000,0,0,21000,1069000,590000,270000,110,44,40,42
2015,400079,Tucson Youth Development/ACE Charter High School,Arizona,4422,Tucson,"City, large",Charter agency,162,6,,,,1758000,174000,1457000,127000,Not applicable,1784000,1760000,941000,743000,72000,65000,72000,283000,102000,8000,141000,0,76000,76000,0,0,0,0,0,0,0,31000,0,0,24000,0,15000,0,0,9000,1012000,589000,226000,45,39,30,34
2015,400081,Presidio School,Arizona,4425,Tucson,"City, large",Charter agency,427,4,,,,3595000,501000,2959000,135000,Not applicable,3522000,2950000,1703000,1056000,347000,17000,0,328000,180000,0,184000,0,191000,191000,0,0,0,0,0,0,0,68000,0,0,572000,0,572000,0,0,0,1310000,828000,298000,11,100,50,75
2015,400082,Colorado River Union High School District,Arizona,4381,Fort Mohave,"Town, remote",Regular local school district,2041,8,65829,718,0.253263,16914000,2029000,3241000,11644000,9642000,14981000,14723000,7583000,6491000,896000,777000,279000,630000,2682000,776000,451000,0,649000,649000,0,0,167000,167000,0,0,193000,594000,280000,0,0,0,0,0,0,0,8022000,5380000,2522000,479,87,87,87
2015,400083,Portable Practical Educational Preparation Inc. (PPEP In 1,Arizona,4431,Tucson,"City, large",Charter agency,810,123,,,,7194000,1400000,5563000,231000,Not applicable,6411000,6291000,3185000,2767000,238000,216000,49000,526000,909000,59000,770000,0,339000,339000,0,0,0,0,0,0,1000,0,0,0,120000,0,75000,0,0,45000,3221000,2331000,757000,317,47,47,47
2015,400089,Sedona Charter School  Inc.,Arizona,4492,Sedona,"Rural, fringe",Charter agency,150,3,,,,1439000,77000,1177000,185000,Not applicable,1087000,1087000,768000,319000,76000,16000,1000,17000,101000,1000,107000,0,0,0,0,0,0,0,0,0,2000,28000,0,0,0,0,0,0,0,0,579000,485000,164000,,,,
2015,400090,Mingus Springs Charter School,Arizona,4493,Chino Valley,"Town, fringe",Charter agency,171,Missing/not reported,,,,1435000,166000,1254000,15000,Not applicable,1278000,1223000,661000,485000,132000,0,130000,64000,117000,13000,29000,0,77000,77000,0,0,0,0,0,0,0,23000,0,0,55000,0,48000,0,0,7000,615000,432000,217000,,,,
2015,400092,Franklin Phonetic Primary School Inc. 1,Arizona,4495,Prescott Valley,"Suburb, small",Charter agency,462,5,,,,3759000,432000,3228000,99000,Not applicable,3338000,3328000,1538000,1452000,0,794000,317000,140000,157000,31000,13000,0,338000,338000,0,0,0,0,0,0,60000,65000,0,0,10000,0,0,0,0,10000,1896000,831000,406000,,,,
2015,400093,Skyview School  Inc.,Arizona,4496,Prescott,"City, small",Charter agency,208,3,,,,1682000,67000,1487000,128000,Not applicable,1602000,1602000,1067000,535000,119000,14000,12000,231000,136000,0,23000,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,939000,787000,284000,,,,
2015,400094,Az-Tec High School,Arizona,4508,Yuma,"City, small",Charter agency,123,Missing/not reported,,,,1089000,94000,991000,4000,Not applicable,1039000,1039000,446000,542000,195000,67000,0,220000,50000,10000,0,0,51000,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532000,252000,210000,41,39,30,34
2015,400095,Yuma Private Industry Council  Inc.,Arizona,4509,Yuma,"City, small",Charter agency,89,Missing/not reported,,,,804000,70000,731000,3000,Not applicable,996000,996000,463000,382000,98000,0,13000,104000,56000,7000,104000,0,151000,151000,0,0,0,0,0,0,30000,16000,0,0,0,0,0,0,0,0,503000,261000,164000,62,34,30,32
2015,400096,Mountain School  Inc.,Arizona,4203,Flagstaff,"City, small",Charter agency,195,3,,,,1607000,0,1329000,278000,Not applicable,1101000,1101000,764000,337000,0,5000,21000,198000,87000,0,26000,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,713000,535000,194000,,,,
2015,400097,Northland Preparatory Academy,Arizona,4204,Flagstaff,"City, small",Charter agency,640,Missing/not reported,,,,5473000,56000,4835000,582000,Not applicable,4494000,4430000,2845000,1585000,283000,0,848000,0,415000,9000,30000,0,0,0,0,0,0,0,0,0,54000,87000,0,0,64000,0,7000,0,0,57000,2844000,2142000,836000,72,100,95,97
2015,400098,Flagstaff Junior Academy,Arizona,4207,Flagstaff,"City, small",Charter agency,298,Missing/not reported,,,,2576000,61000,2230000,285000,Not applicable,2363000,2308000,1590000,718000,11000,0,272000,55000,352000,0,28000,0,0,0,0,0,0,0,0,0,9000,12000,0,0,55000,0,0,0,0,55000,1271000,1049000,333000,,,,
2015,400099,Liberty High School,Arizona,4216,Globe,"Town, remote",Charter agency,86,Missing/not reported,,,,817000,55000,756000,6000,Not applicable,691000,691000,400000,291000,8000,1000,98000,100000,58000,21000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412000,264000,149000,20,79,60,69
2015,400100,Ball Charter Schools (Hearn),Arizona,4294,Phoenix,"City, large",Charter agency,615,21,,,,4644000,352000,3819000,473000,Not applicable,3109000,3109000,1939000,889000,51000,93000,0,364000,251000,5000,125000,0,281000,281000,0,0,0,0,0,0,79000,51000,0,0,0,0,0,0,0,0,1984000,1463000,515000,,,,
2015,400102,Friendly House  Inc.,Arizona,4303,Phoenix,"City, large",Charter agency,379,86,,,,3544000,420000,2578000,546000,Not applicable,2704000,2704000,1621000,974000,188000,0,244000,71000,358000,113000,0,0,109000,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893000,1309000,300000,,,,
2015,400103,Ombudsman Educational Services Ltd. a subsidiary of Educ 1,Arizona,4323,Phoenix,"City, large",Charter agency,409,5,,,,3177000,0,3174000,3000,Not applicable,3796000,3043000,1405000,1638000,1000,0,31000,586000,694000,29000,297000,0,0,0,0,0,0,0,0,0,0,37000,0,0,753000,0,550000,0,0,203000,1269000,1115000,204000,180,24,20,22
2015,400104,Global Renaissance Academy of Distinguished Education,Arizona,4324,Tempe,"City, midsize",Charter agency,67,Missing/not reported,,,,767000,0,746000,21000,Not applicable,679000,679000,412000,267000,27000,0,43000,1000,186000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363000,361000,2000,13,100,50,75
2015,400105,Hillcrest Academy  Inc.,Arizona,4328,Mesa,"City, large",Charter agency,147,3,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
2015,400106,Arizona Agribusiness & Equine Center Inc. 1,Arizona,4331,Phoenix,"City, large",Charter agency,407,Missing/not reported,,,,3153000,28000,3032000,93000,Not applicable,2174000,2168000,1402000,766000,177000,0,129000,216000,191000,15000,38000,0,0,0,0,0,0,0,0,0,13000,66000,0,0,6000,0,3000,0,0,3000,1074000,695000,284000,81,84,80,82
2015,400107,International Commerce Secondary Schools  Inc.,Arizona,4334,Phoenix,"City, large",Charter agency,552,43,,,,3930000,0,3930000,0,Not applicable,3146000,3137000,2472000,665000,0,0,550000,22000,61000,32000,0,0,0,0,0,0,0,0,0,0,86000,0,0,0,0,0,0,0,0,0,1307000,1066000,409000,342,35,35,35
2015,400108,Humanities and Sciences Academy of the United States  Inc.,Arizona,4337,Phoenix,"City, midsize",Charter agency,240,15,,,,1858000,0,1853000,5000,Not applicable,1709000,1699000,1414000,285000,0,0,230000,13000,28000,14000,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,646000,551000,194000,185,44,40,42
2015,400109,Phoenix Advantage Charter School  Inc.,Arizona,4338,Phoenix,"City, large",Charter agency,413,123,,,,4165000,1084000,2881000,200000,Not applicable,3311000,3268000,1364000,1258000,86000,145000,3000,363000,263000,261000,137000,0,646000,646000,0,0,0,0,0,0,5000,96000,0,0,43000,0,12000,0,0,31000,1462000,981000,312000,,,,
2015,400111,Allen-Cochran Enterprises  Inc.,Arizona,4347,Tempe,"City, midsize",Charter agency,391,Missing/not reported,,,,2801000,0,2603000,198000,Not applicable,2647000,2647000,1851000,796000,192000,0,0,83000,471000,0,50000,0,0,0,0,0,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,1583000,1385000,186000,,,,
2015,400112,American Leadership Academy  Inc.,Arizona,4348,Chandler,"Suburb, large",Charter agency,5568,78,,,,38482000,1734000,36182000,566000,Not applicable,23293000,23238000,14941000,8252000,439000,0,2927000,3205000,882000,799000,0,0,45000,45000,0,0,55000,0,55000,0,0,0,0,0,0,0,0,0,0,0,16684000,10126000,2870000,170,89,85,87
2015,400113,Fountain Hills Charter School,Arizona,4356,Fountain Hills,"Suburb, large",Charter agency,116,Missing/not reported,,,,855000,14000,794000,47000,Not applicable,815000,815000,472000,343000,0,19000,62000,25000,100000,0,137000,0,0,0,0,0,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,424000,362000,63000,,,,
2015,400115,Hermosa Montessori Charter School,Arizona,4426,Tucson,"Rural, fringe",Charter agency,221,Missing/not reported,,,,1828000,48000,1494000,286000,Not applicable,1646000,1615000,917000,698000,25000,12000,74000,117000,365000,0,105000,0,0,0,0,0,0,0,0,0,0,21000,0,0,31000,0,0,0,0,31000,893000,669000,147000,,,,
2015,400120,Arizona Department of Corrections,Arizona,8336,Phoenix,"Rural, distant",Other education agency,1,Missing/not reported,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Not applicable,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,,,,
2015,400121,Accelerated Learning Center  Inc.,Arizona,4297,Phoenix,"City, large",Charter agency,204,Missing/not reported,,,,1614000,0,1599000,15000,Not applicable,1063000,1060000,540000,520000,4000,1000,55000,113000,324000,3000,20000,0,0,0,0,0,0,0,0,0,4000,21000,0,0,3000,0,3000,0,0,0,476000,390000,158000,70,74,70,72
2015,400122,Acclaim Charter School,Arizona,4325,Phoenix,"City, large",Charter agency,405,111,,,,3518000,710000,2743000,65000,Not applicable,2992000,2959000,1571000,908000,114000,80000,2000,161000,263000,132000,156000,0,480000,480000,0,0,0,0,0,0,1000,54000,0,0,33000,0,0,0,0,33000,1510000,1085000,438000,,,,
2015,400124,Genesis Program  Inc.,Arizona,4332,Phoenix,"City, large",Charter agency,119,Missing/not reported,,,,1423000,277000,927000,219000,Not applicable,1135000,1111000,597000,514000,7000,23000,0,394000,80000,10000,0,0,0,0,0,0,0,0,0,0,2000,22000,0,0,24000,0,16000,0,0,8000,614000,381000,216000,57,59,50,54
