year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,90000201136,A. I. Prince Technical High School,Connecticut,Connecticut Technical High Sc,6106,"City, midsize",High,Vocational school,No,768,169,20,24,22,169,0,5,2.5,103,72,19,0,9,0,Missing/not reported,8,12,0,429,-2,93,-1,-1,5487889,179,100,95,97,5,7,3,0,0,0,0,0,4,7,4,255,135,97,,212,66,180,0,0,0,0,0,0,243
2015,90000201137,Bullard-Havens Technical High School,Connecticut,Connecticut Technical High Sc,6610,"City, midsize",High,Vocational school,No,784,174,30,34,32,174,10,14,12,34,40,13,0,8,0,Missing/not reported,10,16,0,380,-2,68,-1,-1,5501824,189,100,95,97,0,0,0,0,0,0,0,0,0,0,0,424,28,139,,180,,207,0,0,0,0,0,0,320
2015,90000201138,E. C. Goodwin Technical High School,Connecticut,Connecticut Technical High Sc,6053,"Suburb, large",High,Vocational school,No,636,141,35,39,37,141,10,14,12,102,46,19,0,0,0,Missing/not reported,2,2,0,286,-2,75,-1,-1,4559557,148,100,95,97,0,0,0,0,0,0,0,0,0,0,0,207,51,131,,308,45,,0,0,0,0,0,0,209
2015,90000201139,Ella T. Grasso Southeastern Technical High School,Connecticut,Connecticut Technical High Sc,6340,"Rural, fringe",High,Vocational school,No,505,125,45,49,47,125,15,19,17,61,26,7,0,2,2,Missing/not reported,9,11,0,145,-2,35,-1,-1,4707430,136,100,95,97,0,0,0,0,0,0,0,0,0,0,0,152,114,66,,165,35,6,0,0,0,0,0,0,156
2015,90000201140,Eli Whitney Technical High School,Connecticut,Connecticut Technical High Sc,6514,"Suburb, large",High,Vocational school,No,551,140,15,19,17,140,0,5,2.5,73,50,18,0,4,0,Missing/not reported,8,10,0,392,-2,84,-1,-1,4168181,112,94,90,92,0,0,0,0,0,0,0,0,0,0,0,278,113,80,,150,,147,0,0,0,0,0,0,171
2015,90000201141,Emmett OBrien Technical High School,Connecticut,Connecticut Technical High Sc,6401,"Suburb, large",High,Vocational school,No,573,131,35,39,37,131,6,9,7.5,67,21,2,0,14,12,Missing/not reported,15,17,0,124,-2,22,-1,-1,3795080,142,100,95,97,0,0,0,0,0,0,0,0,0,0,0,185,69,151,,134,69,147,0,0,0,0,0,0,219
2015,90000201142,H. C. Wilcox Technical High School,Connecticut,Connecticut Technical High Sc,6450,"Suburb, large",High,Vocational school,No,760,188,50,54,52,188,15,19,17,65,2,9,0,0,0,Missing/not reported,0,0,0,61,-2,11,-1,-1,5769374,185,100,95,97,0,0,0,0,0,0,0,0,0,0,0,255,126,162,21,191,141,177,0,0,0,0,0,0,270
2015,90000201143,H. H. Ellis Technical High School,Connecticut,Connecticut Technical High Sc,6239,"Suburb, large",High,Vocational school,No,623,154,40,44,42,154,10,14,12,45,12,0,0,2,2,Missing/not reported,6,12,0,64,-2,11,-1,-1,4121907,126,100,95,97,0,0,0,0,0,0,0,0,0,0,0,317,78,137,,329,,119,0,0,0,0,0,0,184
2015,90000201144,Henry Abbott Technical High School,Connecticut,Connecticut Technical High Sc,6811,"City, small",High,Vocational school,No,640,145,55,59,57,145,15,19,17,68,48,6,0,13,13,Missing/not reported,10,16,0,255,-2,48,-1,-1,4461559,148,100,95,97,2,0,0,0,0,0,0,4,0,0,2,226,82,105,,173,93,172,0,0,0,0,0,0,233
2015,90000201145,Howell Cheney Technical High School,Connecticut,Connecticut Technical High Sc,6040,"Suburb, large",High,Vocational school,No,653,148,40,44,42,148,15,19,17,108,48,14,0,4,12,Missing/not reported,10,10,0,300,-2,55,-1,-1,4824129,151,100,95,97,22,18,2,0,0,0,4,19,2,6,8,315,92,118,,182,19,153,0,0,0,0,0,0,200
2015,90000201147,Norwich Technical High School,Connecticut,Connecticut Technical High Sc,6360,"City, small",High,Vocational school,No,657,158,55,59,57,158,20,24,22,77,16,6,0,6,0,Missing/not reported,6,6,0,76,-2,22,-1,-1,4680591,154,100,95,97,9,0,0,1,0,0,0,2,0,0,12,204,137,96,,467,75,11,0,0,0,0,0,0,204
2015,90000201148,Oliver Wolcott Technical High School,Connecticut,Connecticut Technical High Sc,6790,"Town, fringe",High,Vocational school,No,657,157,55,59,57,157,20,24,22,40,33,13,0,8,0,Missing/not reported,8,15,0,272,-2,45,-1,-1,4846187,147,100,95,97,0,0,0,0,0,0,0,0,0,0,0,225,168,150,12,333,16,4,0,0,0,0,0,0,210
2015,90000201149,Platt Technical High School,Connecticut,Connecticut Technical High Sc,6461,"City, small",High,Vocational school,No,811,184,50,54,52,184,15,19,17,88,39,14,0,6,2,Missing/not reported,14,43,0,310,-2,57,-1,-1,5188491,192,100,95,97,0,0,0,1,0,0,0,0,0,0,0,302,165,145,24,183,73,215,0,0,0,0,0,0,267
2015,90000201150,Vinal Technical High School,Connecticut,Connecticut Technical High Sc,6457,"City, small",High,Vocational school,No,588,139,40,44,42,139,10,14,12,50,28,18,0,2,0,Missing/not reported,2,15,0,423,-2,74,-1,-1,4439229,157,94,90,92,0,0,0,0,0,0,0,0,0,0,0,129,151,128,,145,40,129,0,0,0,0,0,0,195
2015,90000201151,W. F. Kaynor Technical High School,Connecticut,Connecticut Technical High Sc,6708,"Suburb, midsize",High,Vocational school,No,758,174,60,64,62,174,15,19,17,70,27,8,0,2,0,Missing/not reported,8,16,0,196,-2,28,-1,-1,5181317,175,100,95,97,1,0,0,0,0,0,0,2,0,0,2,309,103,202,,479,67,48,0,0,0,0,0,0,288
2015,90000201152,Windham Technical High School,Connecticut,Connecticut Technical High Sc,6226,"Town, fringe",High,Vocational school,No,496,118,45,49,47,118,25,29,27,88,9,0,0,0,0,Missing/not reported,0,4,0,35,-2,6,-1,-1,4097694,130,100,95,97,0,0,0,0,0,0,0,0,0,0,0,219,90,62,,267,54,23,0,0,0,0,0,0,165
2015,90000201672,J. M. Wright Technical High School,Connecticut,Connecticut Technical High Sc,6905,"City, midsize",Other,Vocational school,No,250,,,,,,,,,43,15,11,0,2,0,Missing/not reported,8,15,0,181,-2,30,-1,-1,1878446,,,,,0,0,0,0,0,0,0,0,0,0,0,120,,,,72,,6,0,0,0,0,0,0,0
2015,90000300343,Bridgeport Correctional Center,Connecticut,UNIFIED SCHOOL DISTRICT #1,6604,"City, midsize",High,Other/alternative school,No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300344,Brooklyn Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6234,"Rural, fringe",High,Other/alternative school,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300347,Cheshire Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6410,"Suburb, large",High,Other/alternative school,No,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300350,Enfield Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6083,"Suburb, large",Other,Other/alternative school,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300361,Hartford Correctional Center,Connecticut,UNIFIED SCHOOL DISTRICT #1,6120,"City, midsize",High,Other/alternative school,No,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300374,New Haven Correctional Center,Connecticut,UNIFIED SCHOOL DISTRICT #1,6530,"City, midsize",High,Other/alternative school,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300404,Manson Youth Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6410,"Suburb, large",High,Other/alternative school,No,295,,,,,,,,,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,0,-1,-1,560000,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,90000300408,Osborn Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6071,"Suburb, large",High,Other/alternative school,No,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300419,Robinson Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6083,"Suburb, large",High,Other/alternative school,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300436,Willard/Cybulski Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6082,"Suburb, large",High,Other/alternative school,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300454,Garner Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6470,"Suburb, large",High,Other/alternative school,No,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300469,MacDougall/Walker Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6078,"Suburb, large",High,Other/alternative school,No,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300844,Corrigan/Radgowski Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6382,"Suburb, midsize",High,Other/alternative school,No,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000300849,York Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6357,"Suburb, midsize",High,Other/alternative school,No,11,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,80000,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,90000301349,Northern Correctional Institution,Connecticut,UNIFIED SCHOOL DISTRICT #1,6071,"Suburb, large",High,Other/alternative school,No,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,90000400475,Childrens Place School,Connecticut,UNIFIED SCHOOL DISTRICT #2,6088,"Suburb, large",High,Other/alternative school,No,28,8,0,49,24.5,8,0,49,24.5,0,16,0,0,0,0,Missing/not reported,0,0,0,30,-2,16,-1,-1,420000,,,,,0,0,0,0,0,0,0,0,0,0,0,17,4,,,25,2,25,0,0,0,0,0,0,0
2015,90000400479,Riverview School,Connecticut,UNIFIED SCHOOL DISTRICT #2,6457,"City, small",High,Other/alternative school,No,61,18,0,20,10,18,0,20,10,0,15,0,0,0,0,Missing/not reported,0,0,0,35,-2,14,-1,-1,932177,,,,,0,0,0,0,0,0,0,0,0,0,0,29,2,2,,36,,36,0,0,0,0,0,0,8
2015,90000401360,Walter G. Cady School,Connecticut,UNIFIED SCHOOL DISTRICT #2,6457,"City, small",High,Regular school,No,62,3,Suppressed data,Suppressed data,Suppressed data,3,Suppressed data,Suppressed data,Suppressed data,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,62,-1,-1,932177,,,,,0,0,0,0,0,0,0,0,0,0,0,23,,,,31,,31,5,12,0,5,9,0,0
2015,90000501215,E. O. Smith High School,Connecticut,REGIONAL SCHOOL DISTRICT 19,6268,"Suburb, large",High,Regular school,No,1153,260,82,82,82,260,55,55,55,35,28,10,0,0,0,Missing/not reported,0,0,0,112,-2,50,-1,-1,8753535,255,95,95,95,4,0,0,0,0,0,0,4,0,0,6,347,174,281,67,264,120,237,0,0,0,0,0,0,420
2015,90000501729,E.O. Smith High School at the Depot Campus,Connecticut,REGIONAL SCHOOL DISTRICT 19,6251,"Rural, fringe",High,Other/alternative school,No,28,,,,,,,,,4,12,2,0,0,0,Missing/not reported,0,0,0,12,-2,8,-1,-1,251433,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,4
2015,90000501761,PM Panthers,Connecticut,REGIONAL SCHOOL DISTRICT 19,6268,"Suburb, large",High,Other/alternative school,No,25,,,,,,,,,0,4,0,0,0,0,Missing/not reported,0,0,0,6,-2,2,-1,-1,59167,,,,,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,0,0,0,0,0,0,0
2015,90000700747,Jumoke Academy,Connecticut,JUMOKE ACADEMY DISTRICT,6105,"City, midsize",Other,Regular school,Yes,734,423,39,39,39,424,21,21,21,76,12,16,0,0,0,Missing/not reported,0,0,0,124,0,54,-1,-1,2535249,7,100,50,75,0,0,0,0,0,0,0,0,0,0,0,15,15,6,2,7,19,15,0,0,0,0,0,0,10
2015,90000900774,Odyssey Community School,Connecticut,ODYSSEY COMMUNITY SCHOOL DIST,6040,"Suburb, large",Primary,Regular school,Yes,328,216,56,56,56,216,38,38,38,19,2,0,0,0,0,Missing/not reported,0,0,0,3,-2,1,-1,-1,1558336,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,90001000775,Integrated Day Charter School,Connecticut,INTEGRATED DAY CHARTER SCHOOL,6360,"City, small",Primary,Regular school,Yes,331,199,45,49,47,193,30,34,32,8,9,2,0,0,0,Missing/not reported,0,0,0,17,0,10,-1,-1,1718488,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
