year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,250000101558,Quabbin Regional High School,Massachusetts,Quabbin,1005,"Rural, distant",High,Regular school,No,706,174,95,100,97.5,174,75,79,77,11,38,17,0,0,0,Missing/not reported,0,0,0,303,-2,77,-1,-1,4202778,175,89,85,87,2,0,0,0,0,0,0,2,0,0,2,86,163,103,37,214,164,156,0,0,0,0,0,0,102
2015,250000102003,Quabbin Regional Middle School,Massachusetts,Quabbin,1005,"Rural, distant",Middle,Regular school,No,429,426,79,79,79,426,49,49,49,37,13,2,0,0,0,Missing/not reported,0,0,0,18,-2,15,-1,-1,1936683,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000102398,Hardwick Elementary,Massachusetts,Quabbin,1031,"Rural, distant",Primary,Regular school,No,221,129,50,54,52,129,55,59,57,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1075784,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000102399,Hubbardston Center,Massachusetts,Quabbin,1452,"Rural, fringe",Primary,Regular school,No,313,178,60,64,62,178,65,69,67,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1614117,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000102401,New Braintree Grade,Massachusetts,Quabbin,1531,"Rural, distant",Primary,Regular school,No,137,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,554889,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000102402,Oakham Center,Massachusetts,Quabbin,1068,"Rural, fringe",Primary,Regular school,No,164,136,60,64,62,136,55,59,57,2,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,837239,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000102403,Ruggles Lane,Massachusetts,Quabbin,1005,"Rural, distant",Primary,Regular school,No,398,225,56,56,56,223,60,60,60,13,2,2,0,0,0,Missing/not reported,0,0,0,19,-2,6,-1,-1,1843059,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000102797,IB School of Quabbin,Massachusetts,Quabbin,1005,"Rural, distant",High,Regular school,No,27,1,Suppressed data,Suppressed data,Suppressed data,1,Suppressed data,Suppressed data,Suppressed data,0,2,0,0,0,0,Missing/not reported,0,0,0,7,-2,1,-1,-1,133631,24,100,80,90,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000200639,Knox Trail Middle School,Massachusetts,Spencer-E Brookfield,1562,"Suburb, large",Middle,Regular school,No,405,401,65,65,65,406,42,42,42,12,13,4,0,0,0,Missing/not reported,0,0,0,25,-2,19,-1,-1,1615754,,,,,1,0,0,0,0,0,0,4,0,0,2,,,,,,,,0,0,0,0,0,0,0
2015,250000201766,East Brookfield Elementary,Massachusetts,Spencer-E Brookfield,1515,"Town, fringe",Primary,Regular school,No,273,102,60,64,62,102,55,59,57,2,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,998707,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000201790,David Prouty High,Massachusetts,Spencer-E Brookfield,1562,"Suburb, large",High,Regular school,No,396,68,90,94,92,67,70,74,72,2,16,8,0,0,0,Missing/not reported,0,0,0,96,-2,35,-1,-1,1947317,108,74,70,72,0,0,0,0,0,0,0,0,0,0,0,198,42,164,14,,7,98,0,0,0,0,0,0,97
2015,250000201859,Wire Village School,Massachusetts,Spencer-E Brookfield,1562,"Suburb, large",Primary,Regular school,No,507,216,45,45,45,215,51,51,51,0,4,4,0,0,0,Missing/not reported,0,0,0,5,-2,8,-1,-1,1792833,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250000202408,Lake Street,Massachusetts,Spencer-E Brookfield,1562,"Suburb, large",Not applicable,Regular school,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,250001301781,Powder Mill,Massachusetts,Southwick-Tolland-Granville Regional School District,1077,"Rural, fringe",Not applicable,Regular school,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,250001301782,Southwick Regional School,Massachusetts,Southwick-Tolland-Granville Regional School District,1077,"Rural, fringe",High,Regular school,No,797,373,83,83,83,370,59,59,59,65,12,25,0,0,0,Missing/not reported,0,0,0,98,-2,33,-1,-1,4086460,163,94,90,92,0,0,0,0,0,0,0,0,0,0,0,161,114,117,31,111,35,135,0,0,0,0,0,0,129
2015,250001301783,Woodland School,Massachusetts,Southwick-Tolland-Granville Regional School District,1077,"Rural, fringe",Primary,Regular school,No,329,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,1413409,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250001302773,Granville Village School,Massachusetts,Southwick-Tolland-Granville Regional School District,1034,"Rural, fringe",Not applicable,Regular school,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,250001302845,Powder Mill School,Massachusetts,Southwick-Tolland-Granville Regional School District,1077,"Rural, fringe",Primary,Regular school,No,410,410,68,68,68,410,56,56,56,9,2,2,0,0,0,Missing/not reported,0,0,0,7,-2,6,-1,-1,2036559,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250001302847,Granville Village,Massachusetts,Southwick-Tolland-Granville Regional School District,1034,"Rural, fringe",Primary,Regular school,No,89,48,60,69,64.5,48,60,69,64.5,2,2,2,0,0,0,Missing/not reported,0,0,0,6,-2,2,-1,-1,559745,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250001401275,New Hingham Regional Elementary,Massachusetts,Chesterfield-Goshen,1012,"Rural, distant",Primary,Regular school,No,155,87,65,69,67,87,50,54,52,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,785759,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,5,0,0,2,0,0
2015,250002100511,Academy Of the Pacific Rim Charter Public School,Massachusetts,Academy Of the Pacific Rim Charter Public (District),2136,"City, large",Other,Regular school,Yes,524,346,66,66,66,344,55,55,55,8,25,4,0,0,0,Missing/not reported,0,0,0,44,-2,28,-1,-1,2537723,56,100,90,95,2,0,0,0,0,0,0,4,0,0,2,86,30,68,27,47,83,71,0,1,0,0,2,0,82
2015,250002200514,Benjamin Banneker Charter Public School,Massachusetts,Benjamin Banneker Charter Public (District),2142,"City, midsize",Primary,Regular school,Yes,349,183,75,79,77,183,70,74,72,19,2,4,0,0,0,Missing/not reported,0,0,0,14,-2,8,-1,-1,1621179,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,2,0,0
2015,250002400516,Cape Cod Lighthouse Charter School,Massachusetts,Cape Cod Lighthouse Charter (District),2645,"Suburb, midsize",Middle,Regular school,Yes,240,239,87,87,87,237,62,62,62,8,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1638190,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250002500524,Innovation Academy Charter School,Massachusetts,Innovation Academy Charter (District),1879,"Suburb, large",Other,Regular school,Yes,792,495,86,86,86,491,73,73,73,29,15,17,0,0,0,Missing/not reported,0,0,0,71,-2,38,-1,-1,3518850,80,89,85,87,0,0,0,0,0,0,0,0,0,0,0,146,102,108,33,152,65,92,0,0,0,0,0,0,153
2015,250002600530,City on a Hill Charter Public School Circuit Street,Massachusetts,City on a Hill Charter Public School Circuit Street (Distric,2119,"City, large",High,Regular school,Yes,284,58,90,100,95,58,80,89,84.5,68,29,8,0,0,0,Missing/not reported,0,0,0,37,-2,37,-1,-1,1244616,59,69,60,64,0,0,0,0,0,0,0,0,0,0,0,74,66,95,14,77,23,83,0,0,0,0,0,0,60
2015,250002700535,Community Day Charter Public School - Prospect,Massachusetts,Community Day Charter Public School - Prospect (District),1840,"Suburb, large",Primary,Regular school,Yes,400,213,80,80,80,213,75,75,75,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,2137666,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,2,0,0
2015,250002800537,Sabis International Charter School,Massachusetts,Sabis International Charter (District),1129,"City, midsize",Other,Regular school,Yes,1573,867,72,72,72,865,55,55,55,86,57,43,0,0,0,Missing/not reported,0,4,0,315,-2,219,-1,-1,5376025,110,100,95,97,0,0,0,0,0,0,0,0,0,0,0,135,117,56,12,97,106,107,0,2,0,0,4,0,84
2015,250002900545,Neighborhood House Charter School,Massachusetts,Neighborhood House Charter (District),2122,"City, large",Primary,Regular school,Yes,395,230,76,76,76,229,65,65,65,34,6,2,0,2,0,Missing/not reported,0,0,0,10,0,6,-1,-1,2715958,,,,,3,1,0,1,0,0,2,2,0,2,4,,,,,,,,0,0,0,0,0,0,0
2015,250003000547,Benjamin Franklin Classical Charter Public School,Massachusetts,Benjamin Franklin Classical Charter Public (District),2038,"Suburb, large",Primary,Regular school,Yes,446,295,86,86,86,295,80,80,80,4,9,0,0,0,0,Missing/not reported,0,0,0,10,-2,6,-1,-1,1827284,,,,,4,0,0,0,0,0,0,4,0,0,4,,,,,,,,0,1,0,0,2,0,0
2015,250003100549,Hilltown Cooperative Charter Public School,Massachusetts,Hilltown Cooperative Charter Public (District),1027,"Suburb, large",Primary,Regular school,Yes,211,144,75,79,77,143,70,74,72,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1009767,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,250003200553,Lawrence Family Development Charter School,Massachusetts,Lawrence Family Development Charter (District),1841,"Suburb, large",Primary,Regular school,Yes,700,367,78,78,78,366,69,69,69,0,25,12,0,0,0,Missing/not reported,0,0,0,66,6,51,-1,-1,3179323,,,,,5,0,0,5,0,0,0,2,0,0,5,,,,,,,,0,0,0,0,0,0,0
2015,250003300555,Lowell Middlesex Academy Charter School,Massachusetts,Lowell Middlesex Academy Charter (District),1852,"Suburb, large",High,Regular school,Yes,95,23,80,100,90,15,0,49,24.5,0,24,15,0,30,0,Missing/not reported,0,0,0,29,-2,43,-1,-1,911709,42,19,11,15,0,0,0,0,0,0,0,0,0,0,0,25,,,,,,,0,0,0,0,0,0,2
