year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,230000800455,Fayette Central School,Maine,Fayette Public Schools,4349,"Rural, distant",Primary,Regular school,No,78,23,60,79,69.5,23,21,39,30,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,213173,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,230000900032,Long Island Elementary School,Maine,Long Island Public Schools,4050,"Rural, fringe",Primary,Regular school,No,19,10,50,100,75,10,0,49,24.5,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,130000,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,230004900293,ME Sch of Science & Mathematics,Maine,ME Sch of Science & Mathematics,4750,"Rural, distant",High,Regular school,No,149,32,90,100,95,32,90,100,95,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1134895,44,100,90,95,0,0,0,0,0,0,0,0,0,0,0,38,51,84,51,,57,19,0,0,0,0,0,0,64
2015,230005000377,Arthur R. Gould Sch--LCYDC,Maine,Arthur R. Gould Sch--LCYDC,4106,"City, small",High,Regular school,No,38,3,Suppressed data,Suppressed data,Suppressed data,3,Suppressed data,Suppressed data,Suppressed data,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,0,-1,-1,1760161,,,,,1,10,0,5,0,0,4,2,0,7,2,30,,,,9,17,11,0,3,6,0,6,4,11
2015,230005100381,Governor Baxter School for the Deaf,Maine,ME Educational Ctr for the Deaf & Hard of Hearing,4105,"Rural, fringe",Not applicable,Special education school,No,,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,301664,,,,,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,0,0,0,0,0,0,2
2015,230005300504,Camden Hills Regional H S,Maine,Five Town CSD,4856,"Rural, fringe",High,Regular school,No,678,138,70,74,72,141,50,54,52,70,14,4,0,0,0,Missing/not reported,0,2,0,60,-2,26,-1,-1,3245715,160,100,95,97,0,0,0,1,0,0,0,0,0,0,0,169,120,33,156,154,50,141,0,0,0,0,0,0,164
2015,230006200560,Elm Street School-East Machias,Maine,East Machias Public Schools,4630,"Rural, remote",Primary,Regular school,No,199,119,30,34,32,119,10,14,12,4,4,0,0,0,0,Missing/not reported,0,0,0,7,0,3,-1,-1,457325,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,230006501020,Bay Ridge Elementary,Maine,Cutler Public Schools,4626,"Rural, remote",Primary,Regular school,No,72,42,50,59,54.5,42,30,39,34.5,0,6,0,0,0,0,Missing/not reported,0,0,0,13,-2,3,-1,-1,198748,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,230006700561,Fort OBrien School,Maine,Machiasport Public Schools,4655,"Rural, remote",Primary,Regular school,No,44,24,40,59,49.5,24,0,20,10,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,173854,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,230006800564,Whiting Village School,Maine,Whiting Public Schools,4691,"Rural, remote",Primary,Regular school,No,35,23,80,100,90,23,40,59,49.5,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,152050,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,2,0,0
