year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,330000300500,John Stark Regional High School,New Hampshire,John Stark Regional School District,3281,"Rural, distant",High,Regular school,No,688,166,70,74,72,166,35,39,37,28,8,14,0,0,0,Missing/not reported,0,26,0,145,-2,35,-1,-1,3138907,168,94,90,92,3,0,0,0,0,0,0,4,0,0,2,161,159,90,51,168,101,221,0,1,0,0,2,0,222
2015,330001700106,Exeter High School,New Hampshire,Exeter Region Coop School District,3833,"Rural, fringe",High,Regular school,No,1734,389,81,81,81,389,55,55,55,14,47,23,0,0,0,Missing/not reported,2,2,0,467,-2,98,-1,-1,8888978,446,95,95,95,0,0,0,0,0,0,0,0,0,0,0,448,377,412,45,366,174,406,0,0,0,0,0,0,678
2015,330001700107,Cooperative Middle School,New Hampshire,Exeter Region Coop School District,3885,"Rural, fringe",Middle,Regular school,No,1284,1226,68,68,68,1228,57,57,57,40,27,8,0,0,0,Missing/not reported,0,16,0,85,-2,33,-1,-1,7092500,,,,,2,0,0,1,6,0,0,2,0,0,2,,,,,,,,0,1,0,0,0,0,0
2015,330003000605,North Country Charter Academy (H),New Hampshire,North Country Charter Academy,3561,"Town, remote",High,Regular school,Yes,53,16,40,59,49.5,16,0,20,10,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,139790,30,100,80,90,0,0,0,0,0,0,0,0,0,0,0,2,,,,19,,25,0,0,0,0,0,0,0
2015,330003000613,North Country Charter Academy (M),New Hampshire,North Country Charter Academy,3561,"Town, remote",Middle,Regular school,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,330003100606,Seacoast Charter School,New Hampshire,Seacoast Charter School,3820,"Suburb, small",Primary,Regular school,Yes,203,141,60,64,62,142,55,59,57,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,669861,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,330003500047,Gorham Middle School,New Hampshire,Gorham Randolph Shelburne Coop School District,3581,"Town, remote",Middle,Regular school,No,115,108,50,54,52,109,45,49,47,11,8,6,0,4,0,Missing/not reported,0,0,4,53,-2,28,-1,-1,446583,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,330003500141,Edward Fenn School,New Hampshire,Gorham Randolph Shelburne Coop School District,3581,"Town, remote",Primary,Regular school,No,174,100,50,54,52,100,50,54,52,7,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,788481,,,,,0,3,0,0,0,0,2,0,0,2,0,,,,,,,,0,2,0,0,4,0,0
2015,330003500142,Gorham High School,New Hampshire,Gorham Randolph Shelburne Coop School District,3581,"Town, remote",High,Regular school,No,138,36,60,69,64.5,36,30,39,34.5,2,4,0,0,0,0,Missing/not reported,0,0,0,8,-2,3,-1,-1,627269,36,100,90,95,1,0,0,0,0,0,0,2,0,0,2,50,36,28,7,32,39,32,0,0,0,0,0,0,43
2015,330003600614,Cocheco Arts and Technology Charter Academy,New Hampshire,Cocheco Arts And Technology Academy,3820,"Suburb, small",High,Regular school,Yes,61,20,80,100,90,20,0,20,10,0,2,0,0,0,0,Missing/not reported,0,0,0,2,-2,1,-1,-1,174661,12,100,50,75,0,0,0,0,0,0,0,0,0,0,0,15,8,7,,13,,10,0,0,0,0,0,0,30
2015,330003900617,Surry Village Charter School,New Hampshire,Surry Village Charter School,3431,"Rural, fringe",Primary,Regular school,Yes,94,57,60,69,64.5,58,30,39,34.5,2,0,4,0,0,0,Missing/not reported,0,0,0,5,-2,3,-1,-1,229656,,,,,1,1,0,0,0,0,2,2,0,2,2,,,,,,,,0,0,0,0,0,0,0
2015,330004000678,Academy for Science and Design Charter (M),New Hampshire,Academy for Science and Design Charter School,3063,"City, small",Middle,Regular school,Yes,352,334,90,90,90,335,93,93,93,2,4,4,0,0,0,Missing/not reported,0,0,0,10,-2,4,-1,-1,673848,,,,,1,1,0,0,0,0,6,4,0,2,2,,,,,,,,0,0,0,0,0,0,0
2015,330004000684,Academy for Science and Design Charter (H),New Hampshire,Academy for Science and Design Charter School,3063,"City, small",High,Regular school,Yes,169,34,90,100,95,34,90,100,95,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,336924,31,89,80,84,0,0,0,0,0,0,0,0,0,0,0,84,43,40,38,54,58,8,0,0,0,0,0,0,61
2015,330004100677,CSI Charter School,New Hampshire,CSI Charter School,3303,"Town, fringe",High,Regular school,Yes,32,5,Suppressed data,Suppressed data,Suppressed data,5,Suppressed data,Suppressed data,Suppressed data,,,,,,,,,,,,,,,,,27,39,21,30,,,,,,,,,,,,,,,,,,,,,,,,,
2015,330004200683,Strong Foundations Charter School,New Hampshire,Strong Foundations Charter School,3275,"Rural, fringe",Primary,Regular school,Yes,217,114,25,29,27,120,20,24,22,4,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,661346,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,330004300695,Ledyard Charter School,New Hampshire,Ledyard Charter Academy,3766,"Town, remote",High,Regular school,Yes,36,9,0,49,24.5,9,0,49,24.5,0,4,12,2,0,2,Missing/not reported,0,0,0,25,-2,0,-1,-1,108245,24,79,60,69,0,0,0,0,0,0,0,0,0,0,0,23,,,,4,,11,0,0,0,0,0,0,9
2015,330004800609,Great Bay eLearning Charter School (H),New Hampshire,Great Bay Elearning Charter School,3833,"Suburb, small",High,Regular school,Yes,122,18,40,59,49.5,18,21,39,30,7,7,2,0,0,0,Missing/not reported,0,0,0,29,-2,6,-1,-1,190611,40,79,70,74,0,0,0,0,0,0,0,0,0,0,0,36,26,4,4,26,,,0,0,0,0,0,0,32
2015,330004800688,Great Bay eLearning Charter School (M),New Hampshire,Great Bay Elearning Charter School,3833,"Suburb, small",Middle,Regular school,Yes,35,33,60,69,64.5,33,11,19,15,0,2,0,0,0,0,Missing/not reported,0,0,0,1,-2,0,-1,-1,190611,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,330004900619,Prospect Mountain High School,New Hampshire,Prospect Mountain School District,3809,"Rural, distant",High,Regular school,No,500,114,65,69,67,114,40,44,42,71,9,11,0,0,0,Missing/not reported,0,0,0,143,-2,42,-1,-1,2226055,115,94,90,92,0,0,0,0,0,0,0,0,0,0,0,103,76,57,28,63,21,89,0,0,0,0,0,0,149
2015,330061600295,Milton Elementary School,New Hampshire,Milton School District,3851,"Suburb, small",Primary,Regular school,No,258,112,30,34,32,112,25,29,27,67,15,14,0,0,0,Missing/not reported,0,2,0,89,-2,65,-1,-1,862837,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,2,1,0,6,4,0
2015,330061600296,Nute Junior High School,New Hampshire,Milton School District,3851,"Suburb, small",Middle,Regular school,No,111,102,35,39,37,101,20,24,22,12,6,9,2,0,0,Missing/not reported,0,0,0,55,-2,0,-1,-1,498593,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,330061600544,Nute High School,New Hampshire,Milton School District,3851,"Suburb, small",High,Regular school,No,174,28,40,59,49.5,28,21,39,30,13,2,4,2,0,2,Missing/not reported,0,2,0,30,-2,8,-1,-1,616036,39,89,80,84,0,0,0,0,0,0,0,0,0,0,0,40,33,18,,34,,40,0,0,0,0,0,0,45
2015,330138000001,Allenstown Elementary School,New Hampshire,Allenstown School District,3275,"Suburb, midsize",Primary,Regular school,No,180,84,45,49,47,84,50,54,52,9,4,2,0,0,0,Missing/not reported,0,0,0,5,-2,3,-1,-1,921282,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,2,0,0,2,0,0
2015,330138000002,Armand R. Dupont School,New Hampshire,Allenstown School District,3275,"Suburb, midsize",Middle,Regular school,No,167,166,55,59,57,166,30,34,32,6,4,2,0,0,0,Missing/not reported,0,0,0,5,-2,5,-1,-1,640288,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,2,0,0,2,0,0
2015,330144000003,Alton Central School (Elem),New Hampshire,Alton School District,3809,"Rural, distant",Primary,Regular school,No,483,288,61,61,61,280,46,46,46,7,8,0,0,0,0,Missing/not reported,0,0,0,8,0,8,-1,-1,2132299,,,,,11,0,0,11,0,0,0,11,0,0,11,,,,,,,,0,0,0,0,0,0,0
2015,330147000006,Clark-Wilkins School,New Hampshire,Amherst School District,3031,"Suburb, midsize",Primary,Regular school,No,624,242,76,76,76,245,68,68,68,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,2877493,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,330147000007,Amherst Middle School,New Hampshire,Amherst School District,3031,"Suburb, midsize",Middle,Regular school,No,624,627,77,77,77,631,66,66,66,16,4,2,0,0,0,Missing/not reported,0,0,0,15,-2,6,-1,-1,3509592,,,,,2,2,0,1,0,0,2,4,0,4,2,,,,,,,,0,0,0,0,0,0,0
