year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,340000406014,Chatham High School,New Jersey,The School District of the Chathams,7928,"Suburb, large",High,Regular school,No,1202,348,78,78,78,241,56,56,56,0,18,8,0,0,0,Missing/not reported,0,0,0,36,-2,36,-1,-1,6900758,290,98,98,98,0,1,0,0,0,0,2,0,0,8,0,484,318,385,180,296,269,286,0,0,0,0,0,0,440
2015,340000406015,Chatham Middle School,New Jersey,The School District of the Chathams,7928,"Suburb, large",Middle,Regular school,No,1054,870,80,80,80,860,73,73,73,2,22,2,0,0,0,Missing/not reported,0,2,0,24,-2,16,-1,-1,5024951,,,,,1,7,10,3,2,4,12,0,9,12,2,,,,,,,,0,0,0,0,0,0,0
2015,340000406016,Lafayette Avenus School,New Jersey,The School District of the Chathams,7928,"Suburb, large",Middle,Regular school,No,652,631,84,84,84,635,76,76,76,0,4,0,0,0,0,Missing/not reported,0,0,0,2,-2,1,-1,-1,2906040,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,340000406017,Milton Avenue School,New Jersey,The School District of the Chathams,7928,"Suburb, large",Primary,Regular school,No,356,104,85,89,87,104,90,94,92,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,1294886,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,340000406018,Washington Avenue School,New Jersey,The School District of the Chathams,7928,"Suburb, large",Primary,Regular school,No,428,114,75,79,77,114,85,89,87,0,2,0,0,0,0,Missing/not reported,0,0,0,1,0,1,-1,-1,1653334,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,340000406019,Southern Boulevard School,New Jersey,The School District of the Chathams,7928,"Suburb, large",Primary,Regular school,No,464,145,75,79,77,145,80,84,82,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1919474,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,340000500817,Developmental Learning Center Warren,New Jersey,Morris-Union Jointure Commisson School District,7059,"Rural, fringe",Other,Special education school,No,219,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,Not applicable,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,2132,0,0,101,0,0
2015,340000506063,Developmental Learning Center New Providence,New Jersey,Morris-Union Jointure Commisson School District,7974,"Suburb, large",Other,Special education school,No,51,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,Not applicable,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,54,0,0,6,0,0
2015,340000600695,Atlantic County Elementary and Middle Schools,New Jersey,Atlantic County Special Services School District,8330,"Suburb, midsize",Primary,Special education school,No,196,,,,,,,,,0,4,8,0,0,0,Missing/not reported,0,0,0,41,-2,24,-1,-1,3220643,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,340000600697,Atlantic County High School,New Jersey,Atlantic County Special Services School District,8330,"Suburb, midsize",High,Special education school,No,178,,,,,,,,,0,6,0,0,0,0,Missing/not reported,0,0,0,16,-2,4,-1,-1,2685876,,,,,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,0,0,0,0,0,0,0
