year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,360000104498,JAMES A GREEN HIGH SCHOOL,New York,DOLGEVILLE CENTRAL SCHOOL DISTRICT,13329,"Rural, distant",High,Regular school,No,288,58,90,100,95,58,80,89,84.5,57,20,11,0,0,0,Missing/not reported,0,2,0,368,-2,53,-1,-1,1416649,70,89,85,87,2,4,0,4,1,0,0,2,0,4,2,82,55,19,6,28,10,58,0,0,0,0,0,0,27
2015,360000204500,SAUQUOIT VALLEY HIGH SCHOOL,New York,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,13456,"Rural, fringe",High,Regular school,No,309,71,95,100,97.5,73,95,100,97.5,12,2,2,0,0,0,Missing/not reported,0,0,0,60,-2,10,-1,-1,1685312,86,94,90,92,0,1,2,1,0,4,2,0,4,2,0,71,34,35,21,43,28,62,0,0,0,0,0,0,71
2015,360000304543,EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,New York,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,13652,"Rural, remote",High,Regular school,No,270,130,45,49,47,127,50,54,52,28,7,6,0,0,0,Missing/not reported,0,0,0,44,-2,23,-1,-1,1050657,51,79,70,74,0,0,0,0,0,0,0,0,0,0,0,6,26,24,6,16,13,30,0,0,0,0,0,0,31
2015,360000404545,MOHONASEN SENIOR HIGH SCHOOL,New York,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,12303,"Suburb, large",High,Regular school,No,946,243,94,94,94,244,96,96,96,61,51,16,0,0,0,Missing/not reported,0,0,0,492,-2,69,-1,-1,4585527,227,85,85,85,3,3,0,3,0,0,6,7,0,4,2,209,95,73,29,107,41,140,0,0,0,0,0,0,606
2015,360000500282,BROADALBIN-PERTH HIGH SCHOOL,New York,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,12025,"Rural, distant",High,Regular school,No,551,146,90,94,92,147,90,94,92,32,29,15,0,0,0,Missing/not reported,0,0,0,234,-2,68,-1,-1,2835394,132,94,90,92,0,0,0,0,0,0,0,0,0,0,0,132,64,80,19,32,29,73,0,0,0,0,0,0,54
2015,360000701357,JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL,New York,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,14855,"Rural, remote",High,Regular school,No,261,103,45,49,47,99,40,44,42,9,2,0,0,0,0,Missing/not reported,0,0,0,1,-2,1,-1,-1,915822,49,79,70,74,0,0,0,0,0,0,0,0,0,0,0,46,18,26,7,31,9,16,0,0,0,0,0,0,31
2015,360000800193,BELLPORT SENIOR HIGH SCHOOL,New York,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,11719,"Suburb, large",High,Regular school,No,1325,287,89,89,89,296,89,89,89,18,75,44,0,0,0,Missing/not reported,0,21,0,110,-2,110,-1,-1,11456139,349,84,84,84,0,0,0,0,0,0,0,0,0,0,0,331,160,247,12,150,68,171,0,0,0,0,0,0,266
2015,360000904669,SARANAC HIGH SCHOOL,New York,SARANAC CENTRAL SCHOOL DISTRICT,12981,"Rural, distant",High,Regular school,No,443,102,95,100,97.5,102,95,100,97.5,49,21,6,0,0,0,Missing/not reported,0,0,0,164,-2,52,-1,-1,2421867,131,89,85,87,0,0,0,0,0,0,0,0,0,0,0,96,61,30,10,13,18,77,0,0,0,0,0,0,75
2015,360001101020,WAYLAND-COHOCTON HIGH SCHOOL,New York,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,14572,"Rural, distant",High,Regular school,No,410,83,95,100,97.5,84,95,100,97.5,35,24,11,0,0,0,Missing/not reported,0,0,0,578,-2,59,-1,-1,2728842,103,94,90,92,0,4,0,0,0,0,4,0,0,4,0,77,58,16,16,39,16,68,0,0,0,0,0,0,115
2015,360001301199,ONEIDA SENIOR HIGH SCHOOL,New York,ONEIDA CITY SCHOOL DISTRICT,13421,"Town, distant",High,Regular school,No,672,174,90,94,92,175,90,94,92,147,160,16,0,7,0,Missing/not reported,0,0,7,324,-2,278,-1,-1,3446430,171,84,80,82,1,7,0,0,0,0,8,2,0,8,2,114,83,69,32,85,63,132,0,0,0,0,0,0,99
2015,360001401425,WATERLOO HIGH SCHOOL,New York,WATERLOO CENTRAL SCHOOL DISTRICT,13165,"Town, distant",High,Regular school,No,529,107,90,94,92,110,95,100,97.5,108,25,7,0,0,0,Missing/not reported,0,0,0,100,-2,30,-1,-1,2033982,151,89,85,87,2,0,0,0,0,0,0,2,0,0,2,105,51,27,10,55,16,124,0,0,0,0,0,0,78
2015,360001500053,ALLEGANY-LIMESTONE HIGH SCHOOL,New York,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,14706,"Rural, fringe",High,Regular school,No,348,95,95,100,97.5,96,95,100,97.5,26,16,8,0,0,0,Missing/not reported,0,2,0,67,-2,15,-1,-1,2773224,86,89,85,87,0,0,0,1,0,0,0,0,0,0,0,85,45,,10,37,35,63,0,0,0,0,0,0,61
2015,360001600111,AVERILL PARK HIGH SCHOOL,New York,AVERILL PARK CENTRAL SCHOOL DISTRICT,12018,"Rural, fringe",High,Regular school,No,999,248,98,98,98,249,98,98,98,141,53,28,0,0,0,Missing/not reported,0,0,0,555,-2,101,-1,-1,1220595,259,96,96,96,1,0,0,4,1,0,0,2,0,0,2,273,157,,158,253,96,173,0,0,0,0,0,0,36
2015,360001706539,ALLEGANY CO SHERIFF C/O TREASURER,New York,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,14813,"Rural, distant",High,Other/alternative school,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
