year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,420000107136,Bedford County Technical Center,Pennsylvania,Bedford County Technical Center,15537,"Rural, fringe",High,Vocational school,No,0,22,60,79,69.5,21,40,59,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,420000307138,Susquehanna County CTC,Pennsylvania,Susquehanna County CTC,18844,"Rural, distant",High,Vocational school,No,0,4,Suppressed data,Suppressed data,Suppressed data,1,Suppressed data,Suppressed data,Suppressed data,14,6,0,0,0,0,Missing/not reported,0,0,0,12,-2,4,-1,-1,1177068,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,420000707253,Fulton County AVTS,Pennsylvania,Fulton County AVTS,17233,"Rural, distant",High,Vocational school,No,0,5,Suppressed data,Suppressed data,Suppressed data,5,Suppressed data,Suppressed data,Suppressed data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,420001100272,Keystone Education Center CS,Pennsylvania,Keystone Education Center CS,16125,"Rural, fringe",Other,Regular school,Yes,203,81,10,14,12,82,6,9,7.5,0,0,0,0,0,0,Missing/not reported,11,13,0,0,-2,0,-1,-1,1005863,56,69,60,64,0,0,0,0,0,0,0,0,0,0,0,12,,6,,16,,29,0,0,0,0,0,0,6
2015,420001200311,Chester Co Family Academy CS,Pennsylvania,Chester Co Family Academy CS,19382,"Suburb, large",Primary,Regular school,Yes,111,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,264273,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,420001300318,Community Academy of Philadelphia CS,Pennsylvania,Community Academy of Philadelphia CS,19124,"City, large",Other,Regular school,Yes,1199,575,38,38,38,584,17,17,17,87,28,10,0,0,0,Missing/not reported,0,0,0,69,-2,30,-1,-1,3948309,139,89,85,87,0,0,0,0,0,0,0,0,0,0,0,222,109,65,12,116,29,121,0,0,0,0,0,0,143
2015,420001400319,Harambee Institute of Science and Techno,Pennsylvania,Harambee Institute of Science and Technology CS,19151,"City, large",Primary,Regular school,Yes,503,346,32,32,32,344,8,8,8,13,6,86,4,0,0,Missing/not reported,0,0,0,225,-2,177,-1,-1,1274780,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,420001500322,World Communications CS,Pennsylvania,World Communications CS,19146,"City, large",Other,Regular school,Yes,534,245,26,26,26,253,4,4,4,168,76,19,0,0,0,Missing/not reported,0,0,0,93,-2,138,-1,-1,1235443,95,5,0,2,0,0,0,0,0,0,0,0,0,0,0,104,97,16,,98,36,131,0,0,0,0,0,0,73
2015,420001600324,Youth Build Phila CS,Pennsylvania,Youth Build Phila CS,19122,"City, large",High,Regular school,Yes,256,,,,,,,,,0,37,5,6,0,0,Missing/not reported,0,0,0,197,-2,38,-1,-1,363758,28,20,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,420001700336,Manchester Academic CS,Pennsylvania,Manchester Academic CS,15233,"City, large",Primary,Regular school,Yes,325,191,40,44,42,188,10,14,12,49,34,14,0,0,0,Missing/not reported,0,0,0,73,-2,65,-1,-1,913788,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
