year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,440000100380,R.I. School for the Deaf,Rhode Island,R.I. Sch for the Deaf,2908,"City, midsize",Other,Special education school,No,63,33,0,10,5,30,0,20,10,0,4,0,0,0,0,Missing/not reported,0,0,0,2,0,2,-1,-1,2240969,4,Suppressed data,Suppressed data,Suppressed data,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,38,0,0,4,0,0
2015,440000300121,Metropolitan Career Tech Ctr,Rhode Island,MET Career and Tech,2905,"City, midsize",High,Vocational school,No,810,401,19,19,19,386,5,5,5,4,32,6,0,0,0,Missing/not reported,0,0,0,68,-2,35,-1,-1,3670046,194,94,90,92,0,0,0,0,0,0,0,0,0,0,0,,,24,4,186,,218,0,0,1,0,0,4,208
2015,440000400379,Davies Career-Tech High School,Rhode Island,Davies Career and Tech,2865,"Suburb, large",High,Vocational school,No,809,437,29,29,29,432,6,6,6,136,13,2,0,0,0,Missing/not reported,0,11,0,54,-2,13,-1,-1,5542046,183,100,95,97,1,1,0,0,0,0,2,2,0,2,2,195,188,198,10,160,,226,0,0,0,0,0,0,115
2015,440000500271,Urban Collaborative Program,Rhode Island,Urban Collaborative,2903,"City, midsize",Middle,Regular school,No,141,132,10,14,12,131,0,5,2.5,0,4,0,0,0,0,Missing/not reported,0,0,0,19,-2,0,-1,-1,856499,,,,,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,0,0,0,0,0,0,0
2015,440000600326,The Learning Community,Rhode Island,Learning Community,2863,"Suburb, large",Primary,Regular school,Yes,556,368,48,48,48,368,33,33,33,24,23,7,0,0,0,Missing/not reported,0,0,0,66,-2,57,-1,-1,1965416,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,4,0,0,4,0,0
2015,440000800297,BEACON Charter School,Rhode Island,Beacon Charter School,2895,"Suburb, large",High,Regular school,Yes,232,111,50,54,52,95,20,24,22,4,14,2,0,0,0,Missing/not reported,0,0,0,37,-2,12,-1,-1,1271083,57,100,90,95,0,0,0,0,0,0,0,0,0,0,0,62,54,65,21,57,,46,0,0,0,0,0,0,51
2015,440000800493,Founders Academy,Rhode Island,Beacon Charter School,2895,"Suburb, large",Middle,Regular school,Yes,44,44,50,59,54.5,46,11,19,15,2,6,0,0,0,0,Missing/not reported,0,0,0,10,-2,3,-1,-1,212047,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,440000900413,DCYF Alternative Ed. Program,Rhode Island,DCYF,2920,"Suburb, large",High,Other/alternative school,No,65,18,0,20,10,19,0,20,10,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,2600000,55,10,0,5,0,0,0,0,0,0,0,0,0,0,0,20,11,,,11,,9,0,0,0,0,0,0,0
2015,440001400472,Segue Inst for Learning,Rhode Island,Segue Institute for Learning,2863,"Suburb, large",Middle,Regular school,Yes,238,235,34,34,34,237,6,6,6,8,6,2,0,0,0,Missing/not reported,0,0,0,5,-2,6,-1,-1,835403,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,440001500473,Blackstone Valley Prep,Rhode Island,Blackstone Valley Prep A RI Mayoral Academy,2864,"Suburb, large",Primary,Regular school,Yes,413,164,50,54,52,163,55,59,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,440001500475,Blackstone Valley Prep,Rhode Island,Blackstone Valley Prep A RI Mayoral Academy,2863,"Suburb, large",Middle,Regular school,Yes,331,321,60,60,60,321,52,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,440001500480,Blackstone Valley Prep E. 2,Rhode Island,Blackstone Valley Prep A RI Mayoral Academy,2864,"Suburb, large",Primary,Regular school,Yes,410,162,50,54,52,162,50,54,52,2,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1920853,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,440001500488,Blackstone Valley Prep High,Rhode Island,Blackstone Valley Prep A RI Mayoral Academy,2864,"Suburb, large",Other,Regular school,Yes,184,168,55,59,57,87,20,24,22,23,9,0,0,0,0,Missing/not reported,0,0,0,7,-2,7,-1,-1,572173,,,,,0,0,0,0,0,0,0,0,0,0,0,,98,,,75,91,72,0,0,0,0,0,0,0
