year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,500000100418,Castleton-Hubbarton USD #42,Vermont,Castleton-Hubbardton USD #42,5735,"Rural, fringe",Primary,Regular school,Not applicable,352,213,55,55,55,213,40,40,40,12,2,2,0,0,0,Missing/not reported,0,0,0,4,0,5,-1,-1,2163170,,,,,0,0,2,0,0,4,0,0,4,0,0,,,,,,,,0,2,5,0,2,7,0
2015,500000200119,Central Vermont Career Center,Vermont,Spaulding UHSD #41,5641,"Town, distant",High,Vocational school,Not applicable,0,,,,,,,,,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,Missing/not reported,0,-2,-2,-2,-1,-1,Not applicable,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,0,0,0,,,,,,,,,,,,,,0
2015,500000200419,Spaulding UHSD #41,Vermont,Spaulding UHSD #41,5641,"Town, distant",High,Regular school,Not applicable,661,171,45,49,47,171,25,29,27,86,31,13,0,0,0,Missing/not reported,0,0,0,142,-2,44,-1,-1,4733010,164,89,85,87,0,1,0,0,0,0,0,0,0,2,0,177,114,89,22,155,41,142,0,4,0,0,2,0,72
2015,500000300461,Lakeview USD #43,Vermont,Lakeview USD #43,5841,"Rural, remote",Primary,Regular school,Not applicable,89,47,30,39,34.5,47,30,39,34.5,0,0,2,0,0,0,Missing/not reported,0,0,0,4,-2,2,-1,-1,496013,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,30,0,0,0,0,0
2015,500000500251,Woodside Juvenile Rehabilitation Center,Vermont,Woodside Juvenile Rehabilitation Center,5446,"Suburb, midsize",High,Other/alternative school,Not applicable,16,,,,,,,,,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,0,-1,-1,498021,,,,,0,0,0,0,0,0,0,0,0,0,0,8,,,,2,,2,12,93,116,7,13,19,0
2015,500000600120,Essex Community Education Center UHSD #46,Vermont,Essex Community Education Center,5452,"Suburb, midsize",High,Regular school,Not applicable,1217,278,72,72,72,281,52,52,52,2,50,14,0,0,0,Missing/not reported,0,0,0,298,-2,73,-1,-1,7387284,307,90,90,90,4,3,0,4,0,0,4,5,0,4,4,291,228,143,14,225,159,276,0,128,0,0,2,0,331
2015,500000600122,The Center for Technology - Essex,Vermont,Essex Community Education Center,5452,"Suburb, midsize",High,Vocational school,Not applicable,0,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,3068886,,,,,0,0,0,0,0,0,0,0,0,0,0,,4,29,2,35,10,10,0,0,0,0,0,0,0
2015,500000800130,Thatcher Brook Primary School USD #45,Vermont,Duxbury/Waterbury Union #45,5676,"Town, distant",Primary,Regular school,Not applicable,454,135,65,69,67,135,60,64,62,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,2128545,,,,,1,1,0,0,1,0,0,0,0,2,2,,,,,,,,0,0,0,0,0,0,0
2015,500000800146,Crossett Brook Middle School USD #45,Vermont,Duxbury/Waterbury Union #45,5676,"Rural, fringe",Middle,Regular school,Not applicable,254,251,61,61,61,250,37,37,37,0,4,0,0,0,0,Missing/not reported,0,0,0,5,-2,0,-1,-1,1868227,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,500000900177,Mettawee Community School USD #47,Vermont,Mettawee Community School,5775,"Rural, fringe",Primary,Regular school,Not applicable,193,97,60,64,62,97,45,49,47,0,0,0,0,0,0,Missing/not reported,0,0,0,0,0,0,-1,-1,1278569,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
