year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,170000105115,River Ridge High School,Illinois,River Ridge CUSD 210,Missing/not reported,"Rural, distant",High,Regular school,No,162,31,50,59,54.5,27,40,59,49.5,17,7,2,0,0,0,Missing/not reported,4,4,0,43,-2,9,-1,-1,931893,43,100,90,95,0,0,0,0,0,0,0,0,0,0,0,46,18,36,7,29,12,25,0,0,0,0,0,0,31
2015,170000205087,Casey-Westfield Jr/Sr HS,Illinois,Casey-Westfield CUSD 4C,Missing/not reported,"Town, distant",High,Regular school,No,435,215,40,40,40,195,25,29,27,70,26,11,2,2,2,Missing/not reported,0,0,2,57,-2,34,-1,-1,1120020,78,89,85,87,0,0,0,0,0,0,0,0,0,0,0,148,76,46,12,60,33,62,0,0,0,0,0,0,46
2015,170000305119,Blue Ridge High School,Illinois,Blue Ridge CUSD 18,Missing/not reported,"Rural, distant",High,Regular school,No,231,51,40,49,44.5,29,21,39,30,6,11,7,0,2,0,Missing/not reported,0,9,6,85,-2,25,-1,-1,765947,64,94,90,92,4,2,0,2,0,0,0,2,0,2,13,67,54,18,7,30,7,74,0,0,0,0,0,0,22
2015,170000403010,Norris City-Omaha-Enfield H S,Illinois,Norris City-Omaha-Enfield CUSD 3,Missing/not reported,"Rural, remote",High,Regular school,No,197,45,50,59,54.5,49,0,10,5,10,2,0,0,0,0,Missing/not reported,0,0,0,2,-2,1,-1,-1,565190,53,100,90,95,0,0,0,0,0,0,0,0,0,0,0,53,24,25,,50,7,42,0,0,0,0,0,0,19
2015,170000505126,Prairie Central High School,Illinois,Prairie Central CUSD 8,Missing/not reported,"Town, distant",High,Regular school,No,594,122,60,64,62,116,30,34,32,0,21,0,0,0,0,Missing/not reported,0,0,0,40,-2,15,-1,-1,2732253,143,94,90,92,1,0,0,0,0,0,0,2,0,0,2,228,147,54,2,127,26,153,0,0,0,0,0,0,144
2015,170000604213,IYC Kewanee,Illinois,IDJJ Sch Dist 428,Missing/not reported,"Town, distant",High,Other/alternative school,No,121,,,,,,,,,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,0,-1,-1,812970,84,54,50,52,0,0,0,0,0,0,0,0,0,0,0,24,9,,,9,,7,0,0,0,0,0,0,0
2015,170000604464,Illinois Youth Ctr - St Charles,Illinois,IDJJ Sch Dist 428,Missing/not reported,"Suburb, large",High,Other/alternative school,No,22,,,,,,,,,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,0,-1,-1,959927,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,11,,17,0,0,0,0,0,0,0
2015,170000604902,School District 428 IYC-HRB,Illinois,IDJJ Sch Dist 428,Missing/not reported,"Town, distant",High,Other/alternative school,No,78,,,,,,,,,Missing/not reported,0,0,0,Missing/not reported,0,Missing/not reported,Missing/not reported,Missing/not reported,0,0,-2,0,-1,-1,1129872,66,69,65,67,0,0,0,0,0,0,0,0,0,0,0,13,,,4,7,,15,106,88,0,67,49,0,0
2015,170000705083,Eastland Jr/Sr High School,Illinois,Eastland CUSD 308,Missing/not reported,"Rural, remote",High,Regular school,No,280,141,50,54,52,130,40,44,42,2,6,0,0,0,0,Missing/not reported,0,2,0,13,-2,5,-1,-1,1267006,52,100,90,95,0,0,0,1,0,0,0,0,0,0,0,104,35,56,6,38,63,43,0,0,0,0,0,0,26
2015,170001405224,Goreville High School,Illinois,Goreville CUD 1,Missing/not reported,"Rural, distant",High,Regular school,No,200,57,30,39,34.5,52,11,19,15,0,4,0,0,2,2,Missing/not reported,2,2,0,13,-2,2,-1,-1,1272866,47,100,90,95,0,0,0,0,0,0,0,0,0,0,0,72,24,27,18,27,13,34,0,0,0,0,0,0,42
2015,170001505226,Joppa Jr & Sr High School,Illinois,Joppa-Maple Grove UD 38,Missing/not reported,"Rural, distant",High,Regular school,No,109,60,30,39,34.5,49,20,29,24.5,26,11,4,0,2,0,Missing/not reported,0,0,2,92,-2,21,-1,-1,508682,13,100,50,75,0,0,0,0,0,0,0,0,0,0,0,11,15,10,4,8,4,11,0,0,0,0,0,0,12
2015,170004100254,GCMS High School,Illinois,Gibson City-Melvin-Sibley CUSD 5,Missing/not reported,"Town, distant",High,Regular school,No,334,64,45,49,47,61,25,29,27,7,9,6,2,2,0,Missing/not reported,2,2,0,125,-2,30,-1,-1,1339813,75,89,85,87,0,0,0,0,0,0,0,0,0,0,0,84,85,52,16,56,48,76,0,0,0,0,0,0,68
2015,170004405230,Farmington Central High Sch,Illinois,Farmington Central CUSD 265,Missing/not reported,"Rural, distant",High,Regular school,No,418,88,40,44,42,53,11,19,15,23,8,2,0,0,0,Missing/not reported,0,0,0,43,-2,9,-1,-1,1338706,102,100,95,97,0,0,0,0,0,0,0,0,0,0,0,107,107,56,16,57,10,174,0,0,0,0,0,0,68
2015,170004505236,Gallatin High School,Illinois,Gallatin CUSD 7,Missing/not reported,"Rural, distant",High,Regular school,No,188,59,40,49,44.5,57,0,10,5,16,10,4,0,0,0,Missing/not reported,0,0,0,34,-2,18,-1,-1,507005,41,100,90,95,0,0,0,0,0,0,0,0,0,0,0,72,45,,4,41,9,37,0,0,0,0,0,0,51
2015,170009205255,Georgetown-Ridge Farm High School,Illinois,Georgetown-Ridge Farm CUD 4,Missing/not reported,"Rural, fringe",High,Regular school,No,340,65,35,39,37,49,0,10,5,25,19,14,0,4,0,Missing/not reported,0,22,4,279,-2,64,-1,-1,867211,94,89,85,87,0,0,0,0,0,0,0,0,0,0,0,120,15,10,10,76,,78,0,0,0,0,0,0,13
2015,170009904506,University High School,Illinois,ISU  Laboratory Schools,Missing/not reported,"Suburb, midsize",High,Other/alternative school,No,610,,,,,,,,,8,6,0,0,0,0,Missing/not reported,2,4,0,19,-2,0,-1,-1,2734000,,,,,10,5,0,5,0,0,5,7,0,4,10,182,147,134,158,53,78,83,0,0,0,0,0,0,158
2015,170010004505,University of Illinois High Sch,Illinois,University of Ill Lab School,Missing/not reported,"City, small",High,Other/alternative school,No,324,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1589310,,,,,0,0,1,0,0,2,0,0,2,0,0,181,178,52,97,71,180,55,0,0,0,0,0,0,115
2015,170010105114,Il Mathematics & Science Academy,Illinois,Il Mathematics & Science Academy,Missing/not reported,"Suburb, large",High,Other/alternative school,No,649,,,,,,,,,0,22,2,0,0,0,Missing/not reported,0,0,0,116,-2,23,-1,-1,4238695,,,,,1,0,0,0,0,0,0,2,0,0,2,263,383,271,290,125,337,22,0,0,0,0,0,0,344
2015,170010205345,Brussels High School,Illinois,Brussels CUSD 42,Missing/not reported,"Rural, distant",High,Regular school,No,80,33,40,49,44.5,34,20,29,24.5,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,334267,15,100,50,75,0,0,0,0,0,0,0,0,0,0,0,19,16,7,,16,13,16,0,0,0,0,0,0,19
2015,170010505357,A-C Central High School,Illinois,A-C Central CUSD 262,Missing/not reported,"Rural, distant",High,Regular school,No,129,22,21,39,30,29,0,20,10,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,465263,34,100,90,95,0,0,0,0,0,0,0,0,0,0,0,37,50,10,10,30,24,34,0,0,0,0,0,0,18
2015,170010605361,Heritage High School,Illinois,Heritage CUSD 8,Missing/not reported,"Rural, distant",High,Regular school,No,158,26,21,39,30,33,11,19,15,0,7,0,0,0,0,Missing/not reported,0,0,0,6,-2,6,-1,-1,1077830,35,100,90,95,0,0,0,0,0,0,0,0,0,0,0,53,18,30,4,30,7,37,0,0,0,0,0,0,0
