year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,100000400012,Charter School of Wilmington,Delaware,Charter School of Wilmington,19807,"City, small",High,Regular school,Yes,972,239,99,100,99.5,239,98,98,98,0,2,2,0,2,0,Missing/not reported,0,2,0,15,-2,4,-1,-1,3626727,243,100,99,99,0,0,0,0,0,0,0,0,0,0,0,327,611,37,139,249,500,195,0,0,0,0,0,0,222
2015,100000500013,Positive Outcomes Charter School,Delaware,Positive Outcomes Charter School,19934,"Suburb, midsize",High,Regular school,Yes,126,46,20,29,24.5,46,0,10,5,13,18,6,0,0,0,Missing/not reported,6,11,0,83,-2,33,-1,-1,593693,23,100,80,90,0,0,0,0,0,0,0,0,0,0,0,23,21,28,,21,25,25,0,3,0,0,4,0,40
2015,100001600143,Delaware Military Academy,Delaware,Delaware Military Academy,19804,"Suburb, large",High,Regular school,Yes,564,136,60,64,62,136,25,29,27,0,17,4,0,0,0,Missing/not reported,0,6,0,63,-2,24,-1,-1,1754413,126,100,95,97,0,0,0,0,0,0,0,0,0,0,0,171,135,10,55,132,126,169,0,0,0,0,0,0,311
2015,100004900341,Delaware Academy of Public Safety and Security,Delaware,Delaware Academy of Public Safety and Security,19720,"Suburb, large",High,Regular school,Yes,303,64,35,39,37,64,10,14,12,4,26,14,0,6,4,Missing/not reported,0,0,2,78,-2,4,-1,-1,2100200,98,84,80,82,0,0,0,0,0,0,0,0,0,0,0,60,84,,20,102,84,99,0,0,0,0,0,0,90
2015,100005500363,Early College High School at Delaware State University,Delaware,Early College High School at Delaware State University,19901,"City, small",High,Regular school,Yes,209,,,,,,,,,10,9,15,0,8,0,Missing/not reported,0,6,8,84,-2,40,-1,-1,958668,,,,,0,0,0,1,0,0,0,0,0,0,0,102,,51,,,,87,0,0,0,0,0,0,0
2015,100005900372,Freire Charter School,Delaware,Freire Charter School,19801,"City, small",High,Regular school,Yes,234,136,45,49,47,135,25,29,27,0,50,57,0,0,0,Missing/not reported,2,11,0,290,-2,179,-1,-1,547591,,,,,2,2,0,0,0,0,0,0,0,2,2,,,,,,,26,0,0,0,0,0,0,0
2015,100008000024,Middletown High School,Delaware,Appoquinimink School District,19709,"Town, fringe",High,Regular school,No,1446,338,60,60,60,338,34,34,34,89,72,17,0,0,0,Missing/not reported,14,14,10,400,-2,82,-1,-1,6074371,340,92,92,92,1,0,0,0,0,0,0,0,0,0,2,501,235,468,38,325,450,238,0,2,0,0,6,0,286
2015,100008000225,Appoquinimink High School,Delaware,Appoquinimink School District,19709,"Rural, fringe",High,Regular school,No,1589,391,65,65,65,391,45,45,45,89,82,54,0,0,0,Missing/not reported,26,26,13,500,-2,133,-1,-1,6450071,387,88,88,88,0,0,2,1,1,2,0,0,4,0,0,590,362,599,97,411,483,261,0,2,0,0,2,0,337
2015,100017000029,Cape Henlopen High School,Delaware,Cape Henlopen School District,19958,"Town, distant",High,Regular school,No,1382,283,57,57,57,284,35,35,35,130,103,50,0,4,0,Missing/not reported,6,17,4,341,-2,117,-1,-1,4895770,313,91,91,91,1,2,0,3,0,0,2,2,0,2,2,411,335,279,51,330,28,324,0,0,0,0,0,0,332
2015,100018000040,Caesar Rodney High School,Delaware,Caesar Rodney School District,19934,"Suburb, midsize",High,Regular school,No,2003,462,61,61,61,462,41,41,41,184,101,54,0,0,0,Missing/not reported,32,33,10,906,-2,256,-1,-1,7589318,517,86,86,86,0,2,0,1,0,0,0,0,0,4,0,532,415,362,72,237,151,119,0,0,0,0,0,0,649
