year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,40000101204,Cactus Shadows High School,Arizona,Cave Creek Unified District,85266,"City, midsize",High,Regular school,No,1714,422,42,42,42,230,16,16,16,0,74,34,2,0,0,Missing/not reported,0,0,0,531,-2,149,-1,-1,3232258,415,93,93,93,0,0,0,0,0,0,0,0,0,0,0,543,377,424,,453,314,269,0,0,0,0,0,0,210
2015,40000301458,Chino Valley High School,Arizona,Chino Valley Unified District,86323,"Town, fringe",High,Regular school,No,751,160,25,29,27,135,6,9,7.5,108,24,8,0,0,0,Missing/not reported,2,6,0,147,-2,37,-1,-1,1030481,187,94,90,92,0,0,0,0,0,0,0,0,0,0,0,147,124,12,35,171,9,193,0,0,0,0,0,0,35
2015,40001600476,Center for Academic Success  The #1,Arizona,Center for Academic Success  Inc.,85635,"City, small",High,Regular school,Yes,105,22,21,39,30,18,0,20,10,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,295680,35,89,80,84,0,0,0,0,0,0,0,0,0,0,0,29,,23,,24,,36,0,0,0,0,0,0,2
2015,40001600481,Center for Academic Success  The #2,Arizona,Center for Academic Success  Inc.,85607,"Town, remote",High,Regular school,Yes,122,31,20,29,24.5,29,40,59,49.5,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,347556,11,100,50,75,0,0,0,0,0,0,0,0,0,0,0,34,,,,13,25,,0,0,0,0,0,0,0
2015,40001900498,Flagstaff Arts And Leadership Academy,Arizona,Flagstaff Arts And Leadership Academy,86001,"City, small",High,Regular school,Yes,322,138,40,44,42,122,30,34,32,2,2,0,0,0,0,Missing/not reported,0,0,0,1,-2,0,-1,-1,941920,60,89,80,84,0,0,0,0,0,0,0,0,0,0,0,54,74,14,39,50,31,75,0,0,0,0,0,0,15
2015,40002301524,Pinon High School,Arizona,Pinon Unified District,86510,"Rural, remote",High,Regular school,No,367,66,6,9,7.5,67,0,5,2.5,0,47,29,0,0,0,Missing/not reported,0,0,0,532,-2,197,-1,-1,703328,105,64,60,62,0,0,0,0,0,0,0,0,0,0,0,102,90,85,,87,,96,0,0,0,0,0,0,32
2015,40002601460,Mogollon High School,Arizona,Heber-Overgaard Unified District,85928,"Rural, remote",High,Regular school,No,131,32,50,59,54.5,9,0,49,24.5,10,8,0,0,0,0,2,0,6,0,12,-2,4,-1,1,407743,28,100,80,90,0,0,0,0,0,0,0,0,0,0,0,32,17,17,,25,,29,0,0,0,0,0,0,26
2015,40003603421,Foothills Academy Connected,Arizona,Foothills Academy,85266,"City, midsize",High,Regular school,Yes,13,7,50,100,75,5,Suppressed data,Suppressed data,Suppressed data,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,Not applicable,8,100,50,75,0,0,0,0,0,0,0,0,0,0,0,4,6,2,,2,4,4,0,0,0,0,0,0,4
2015,40004100718,Gateway Early College High School,Arizona,Maricopa County Community College District dba Gateway Early,85034,"City, large",High,Regular school,Yes,254,56,40,49,44.5,42,11,19,15,13,28,13,0,0,0,Missing/not reported,2,2,0,72,-2,39,-1,-1,804922,48,100,90,95,0,0,0,0,0,0,0,0,0,0,0,63,67,34,16,61,7,65,0,0,0,0,0,0,45
2015,40004300733,New School for the Arts,Arizona,New School For The Arts,85281,"City, midsize",High,Regular school,Yes,196,2,Suppressed data,Suppressed data,Suppressed data,6,0,49,24.5,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,300000,38,100,90,95,0,0,0,0,0,0,0,0,0,0,0,63,15,19,6,21,15,45,0,0,0,0,0,0,18
